"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","dram__bytes_read.sum","dram__bytes_write.sum","gpu__time_duration.sum","l1tex__t_sector_hit_rate.pct","l1tex__throughput.avg.pct_of_peak_sustained_elapsed","lts__t_sector_hit_rate.pct","lts__throughput.avg.pct_of_peak_sustained_elapsed","sm__inst_executed.avg.pct_of_peak_sustained_elapsed","sm__pipe_fma_cycles_active.avg.pct_of_peak_sustained_elapsed","sm__pipe_tensor_cycles_active.avg.pct_of_peak_sustained_elapsed","sm__throughput.avg.pct_of_peak_sustained_elapsed","sm__warps_active.avg.pct_of_peak_sustained_active"
"","","","","","","","","","","","Gbyte","Mbyte","usecond","%","%","%","%","%","%","%","%","%"
"0","48439","python3.10","127.0.0.1","void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl<at::native::<unnamed>::pow_tensor_tensor_kernel(at::TensorIteratorBase &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float, float) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)","1","7","(128, 1, 1)","(1, 1, 1)","1","9.0","0.000066","0.000000","4.768000","5.555556","0.098804","70.962637","7.479463","0.011148","0.003743","0.000000","0.012217","3.493304"
"1","48439","python3.10","127.0.0.1","void at::native::vectorized_elementwise_kernel<(int)4, at::native::reciprocal_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 2)]::operator ()() const::[lambda(float) (instance 1)], std::array<char *, (unsigned long)2>>(int, T2, T3)","1","7","(128, 1, 1)","(1, 1, 1)","1","9.0","0.000007","0.000000","3.264000","0.000000","0.136173","96.921562","10.938466","0.006632","0.001547","0.000295","0.007074","4.755360"
"2","48439","python3.10","127.0.0.1","void at::native::vectorized_elementwise_kernel<(int)4, at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, std::array<char *, (unsigned long)2>>(int, T2, T3)","1","7","(128, 1, 1)","(1, 1, 1)","1","9.0","0.000004","0.000000","3.104000","0.000000","0.141037","97.800643","11.603328","0.004198","0.000687","0.000305","0.005495","4.796844"
"3","48439","python3.10","127.0.0.1","void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)","1","7","(128, 1, 1)","(1, 1, 1)","1","9.0","0.000015","0.000000","3.552000","5.555556","0.124707","93.161175","10.238305","0.004049","0.000472","0.000135","0.005129","3.820027"
"4","48439","python3.10","127.0.0.1","void at::native::vectorized_elementwise_kernel<(int)4, at::native::cos_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 2)]::operator ()() const::[lambda(float) (instance 1)], std::array<char *, (unsigned long)2>>(int, T2, T3)","1","7","(128, 1, 1)","(1, 1, 1)","1","9.0","0.000016","0.000000","3.424000","0.000000","0.135799","92.738532","10.461014","0.008451","0.002866","0.000000","0.009332","4.850796"
"5","48439","python3.10","127.0.0.1","void at::native::vectorized_elementwise_kernel<(int)4, at::native::float16_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda(float) (instance 1)], std::array<char *, (unsigned long)2>>(int, T2, T3)","1","7","(128, 1, 1)","(1, 1, 1)","1","9.0","0.000004","0.000000","3.200000","16.666667","0.143104","98.581415","11.270721","0.004182","0.000929","0.000310","0.005575","4.685537"
"6","48439","python3.10","127.0.0.1","void at::native::vectorized_elementwise_kernel<(int)4, at::native::sin_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 2)]::operator ()() const::[lambda(float) (instance 1)], std::array<char *, (unsigned long)2>>(int, T2, T3)","1","7","(128, 1, 1)","(1, 1, 1)","1","9.0","0.000016","0.000000","3.264000","0.000000","0.138889","90.867648","10.934693","0.008568","0.002706","0.000000","0.009470","4.820173"
"7","48439","python3.10","127.0.0.1","void at::native::vectorized_elementwise_kernel<(int)4, at::native::float16_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda(float) (instance 1)], std::array<char *, (unsigned long)2>>(int, T2, T3)","1","7","(128, 1, 1)","(1, 1, 1)","1","9.0","0.000004","0.000000","3.136000","16.666667","0.137941","97.605406","11.494111","0.004031","0.000896","0.000299","0.005374","4.685535"
"8","48439","python3.10","127.0.0.1","sm90_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize64x128x64_warpgroupsize1x1x1_execute_segment_k_off_kernel__5x_cublas","1","7","(384, 1, 1)","(72, 1, 1)","1","9.0","0.075559","2.615552","34.592000","0.000000","14.962469","5.128219","61.272148","6.599464","0.512822","19.219864","19.219864","11.435811"
