
============================================================
  E2E Latency — Single GPU cuda:0 — 100 iters
============================================================

====================================================================================================
  E2E Latency (median of N iters) | TP=1 rank=0
====================================================================================================
     Seq | Stage              |  Median(us) | % of layer
----------------------------------------------------------------------------------------------------
    1024 | rmsnorm_attn       |        76.7 |      10.7%
    1024 | qkv_proj           |        61.2 |       8.6%
    1024 | rope               |       133.8 |      18.7%
    1024 | attn               |        58.8 |       8.2%
    1024 | o_proj             |        55.9 |       7.8%
    1024 | residual_attn      |         5.9 |       0.8%
    1024 | rmsnorm_mlp        |        79.0 |      11.0%
    1024 | gate_up_proj       |       109.9 |      15.3%
    1024 | silu_mul           |        16.6 |       2.3%
    1024 | down_proj          |        49.9 |       7.0%
    1024 | residual_mlp       |         5.6 |       0.8%
    1024 | LAYER TOTAL        |       715.9 |
----------------------------------------------------------------------------------------------------
    2048 | rmsnorm_attn       |        75.7 |      10.7%
    2048 | qkv_proj           |        60.8 |       8.6%
    2048 | rope               |       131.0 |      18.6%
    2048 | attn               |        60.4 |       8.6%
    2048 | o_proj             |        54.5 |       7.7%
    2048 | residual_attn      |         5.7 |       0.8%
    2048 | rmsnorm_mlp        |        77.4 |      11.0%
    2048 | gate_up_proj       |       110.2 |      15.7%
    2048 | silu_mul           |        16.5 |       2.3%
    2048 | down_proj          |        49.6 |       7.0%
    2048 | residual_mlp       |         5.6 |       0.8%
    2048 | LAYER TOTAL        |       704.0 |
----------------------------------------------------------------------------------------------------
    4096 | rmsnorm_attn       |        76.4 |      10.7%
    4096 | qkv_proj           |        61.1 |       8.6%
    4096 | rope               |       133.4 |      18.7%
    4096 | attn               |        66.0 |       9.3%
    4096 | o_proj             |        51.6 |       7.3%
    4096 | residual_attn      |         5.7 |       0.8%
    4096 | rmsnorm_mlp        |        78.7 |      11.0%
    4096 | gate_up_proj       |       111.0 |      15.6%
    4096 | silu_mul           |        16.7 |       2.3%
    4096 | down_proj          |        49.8 |       7.0%
    4096 | residual_mlp       |         5.6 |       0.8%
    4096 | LAYER TOTAL        |       712.2 |
----------------------------------------------------------------------------------------------------
    8192 | rmsnorm_attn       |        75.0 |      10.7%
    8192 | qkv_proj           |        60.8 |       8.7%
    8192 | rope               |       129.2 |      18.5%
    8192 | attn               |        74.1 |      10.6%
    8192 | o_proj             |        42.5 |       6.1%
    8192 | residual_attn      |         5.6 |       0.8%
    8192 | rmsnorm_mlp        |        76.7 |      11.0%
    8192 | gate_up_proj       |       110.2 |      15.7%
    8192 | silu_mul           |        16.6 |       2.4%
    8192 | down_proj          |        49.5 |       7.1%
    8192 | residual_mlp       |         5.6 |       0.8%
    8192 | LAYER TOTAL        |       699.9 |
----------------------------------------------------------------------------------------------------
   16384 | rmsnorm_attn       |        75.8 |      10.7%
   16384 | qkv_proj           |        60.9 |       8.6%
   16384 | rope               |       131.4 |      18.6%
   16384 | attn               |        83.6 |      11.8%
   16384 | o_proj             |        34.7 |       4.9%
   16384 | residual_attn      |         5.6 |       0.8%
   16384 | rmsnorm_mlp        |        77.7 |      11.0%
   16384 | gate_up_proj       |       110.5 |      15.6%
   16384 | silu_mul           |        16.6 |       2.3%
   16384 | down_proj          |        49.9 |       7.1%
   16384 | residual_mlp       |         5.6 |       0.8%
   16384 | LAYER TOTAL        |       707.0 |
----------------------------------------------------------------------------------------------------
   32768 | rmsnorm_attn       |        75.2 |      10.7%
   32768 | qkv_proj           |        60.9 |       8.7%
   32768 | rope               |       130.2 |      18.6%
   32768 | attn               |        95.8 |      13.7%
   32768 | o_proj             |        34.5 |       4.9%
   32768 | residual_attn      |         5.6 |       0.8%
   32768 | rmsnorm_mlp        |        65.1 |       9.3%
   32768 | gate_up_proj       |       110.2 |      15.7%
   32768 | silu_mul           |        16.6 |       2.4%
   32768 | down_proj          |        49.6 |       7.1%
   32768 | residual_mlp       |         5.6 |       0.8%
   32768 | LAYER TOTAL        |       701.2 |
----------------------------------------------------------------------------------------------------
   65536 | rmsnorm_attn       |        75.4 |      10.7%
   65536 | qkv_proj           |        60.6 |       8.6%
   65536 | rope               |       130.4 |      18.6%
   65536 | attn               |       115.1 |      16.4%
   65536 | o_proj             |        34.3 |       4.9%
   65536 | residual_attn      |         5.6 |       0.8%
   65536 | rmsnorm_mlp        |        46.2 |       6.6%
   65536 | gate_up_proj       |       110.5 |      15.7%
   65536 | silu_mul           |        16.5 |       2.3%
   65536 | down_proj          |        49.9 |       7.1%
   65536 | residual_mlp       |         5.6 |       0.8%
   65536 | LAYER TOTAL        |       702.0 |
----------------------------------------------------------------------------------------------------
  131072 | rmsnorm_attn       |        75.3 |      10.7%
  131072 | qkv_proj           |        60.5 |       8.6%
  131072 | rope               |       131.1 |      18.6%
  131072 | attn               |       159.0 |      22.6%
  131072 | o_proj             |        34.1 |       4.8%
  131072 | residual_attn      |         5.6 |       0.8%
  131072 | rmsnorm_mlp        |        29.1 |       4.1%
  131072 | gate_up_proj       |        87.6 |      12.5%
  131072 | silu_mul           |        16.6 |       2.4%
  131072 | down_proj          |        49.7 |       7.1%
  131072 | residual_mlp       |         5.6 |       0.8%
  131072 | LAYER TOTAL        |       703.9 |
----------------------------------------------------------------------------------------------------
