
============================================================
  E2E — Single GPU cuda:1 — 100 iters — fused-qkv
============================================================

====================================================================================================
  E2E Latency (median of N iters) | TP=1 rank=0
====================================================================================================
     Seq | Stage              |  Median(us) | % of layer
----------------------------------------------------------------------------------------------------
    1024 | rmsnorm_attn       |        92.3 |      11.6%
    1024 | qkv_proj           |        43.5 |       5.5%
    1024 | rope               |       178.7 |      22.5%
    1024 | attn               |        63.4 |       8.0%
    1024 | o_proj             |        41.8 |       5.3%
    1024 | residual_attn      |        20.2 |       2.5%
    1024 | rmsnorm_mlp        |        94.5 |      11.9%
    1024 | gate_up_proj       |        42.5 |       5.3%
    1024 | silu_mul           |        66.5 |       8.4%
    1024 | down_proj          |        31.2 |       3.9%
    1024 | residual_mlp       |        18.1 |       2.3%
    1024 | LAYER TOTAL        |       794.1 |
----------------------------------------------------------------------------------------------------
    4096 | rmsnorm_attn       |        90.8 |      11.6%
    4096 | qkv_proj           |        42.7 |       5.5%
    4096 | rope               |       176.8 |      22.6%
    4096 | attn               |        62.7 |       8.0%
    4096 | o_proj             |        41.4 |       5.3%
    4096 | residual_attn      |        20.1 |       2.6%
    4096 | rmsnorm_mlp        |        93.5 |      12.0%
    4096 | gate_up_proj       |        41.8 |       5.4%
    4096 | silu_mul           |        65.6 |       8.4%
    4096 | down_proj          |        31.0 |       4.0%
    4096 | residual_mlp       |        17.9 |       2.3%
    4096 | LAYER TOTAL        |       781.7 |
----------------------------------------------------------------------------------------------------
   16384 | rmsnorm_attn       |        90.7 |      11.6%
   16384 | qkv_proj           |        42.4 |       5.4%
   16384 | rope               |       177.0 |      22.7%
   16384 | attn               |        63.6 |       8.2%
   16384 | o_proj             |        41.1 |       5.3%
   16384 | residual_attn      |        20.0 |       2.6%
   16384 | rmsnorm_mlp        |        93.5 |      12.0%
   16384 | gate_up_proj       |        41.8 |       5.4%
   16384 | silu_mul           |        65.4 |       8.4%
   16384 | down_proj          |        30.8 |       4.0%
   16384 | residual_mlp       |        17.8 |       2.3%
   16384 | LAYER TOTAL        |       779.0 |
----------------------------------------------------------------------------------------------------
   65536 | rmsnorm_attn       |        91.4 |      11.7%
   65536 | qkv_proj           |        43.0 |       5.5%
   65536 | rope               |       178.0 |      22.7%
   65536 | attn               |        63.4 |       8.1%
   65536 | o_proj             |        41.7 |       5.3%
   65536 | residual_attn      |        20.1 |       2.6%
   65536 | rmsnorm_mlp        |        94.0 |      12.0%
   65536 | gate_up_proj       |        42.0 |       5.4%
   65536 | silu_mul           |        65.7 |       8.4%
   65536 | down_proj          |        31.0 |       4.0%
   65536 | residual_mlp       |        17.9 |       2.3%
   65536 | LAYER TOTAL        |       783.3 |
----------------------------------------------------------------------------------------------------
  131072 | rmsnorm_attn       |        91.9 |      11.7%
  131072 | qkv_proj           |        42.9 |       5.5%
  131072 | rope               |       178.1 |      22.7%
  131072 | attn               |        63.6 |       8.1%
  131072 | o_proj             |        41.6 |       5.3%
  131072 | residual_attn      |        19.8 |       2.5%
  131072 | rmsnorm_mlp        |        94.3 |      12.0%
  131072 | gate_up_proj       |        42.0 |       5.3%
  131072 | silu_mul           |        65.8 |       8.4%
  131072 | down_proj          |        31.1 |       4.0%
  131072 | residual_mlp       |        17.8 |       2.3%
  131072 | LAYER TOTAL        |       785.8 |
----------------------------------------------------------------------------------------------------
