
============================================================
  E2E — Single GPU cuda:1 — 100 iters — split-qkv
============================================================

====================================================================================================
  E2E Latency (median of N iters) | TP=1 rank=0
====================================================================================================
     Seq | Stage              |  Median(us) | % of layer
----------------------------------------------------------------------------------------------------
    1024 | rmsnorm_attn       |        91.2 |      11.1%
    1024 | q_proj             |        40.9 |       5.0%
    1024 | kv_proj            |        26.9 |       3.3%
    1024 | rope               |       180.4 |      22.0%
    1024 | attn               |        63.4 |       7.7%
    1024 | o_proj             |        40.1 |       4.9%
    1024 | residual_attn      |        19.8 |       2.4%
    1024 | rmsnorm_mlp        |        93.3 |      11.4%
    1024 | gate_up_proj       |        43.8 |       5.3%
    1024 | silu_mul           |        66.7 |       8.1%
    1024 | down_proj          |        31.1 |       3.8%
    1024 | residual_mlp       |        17.8 |       2.2%
    1024 | LAYER TOTAL        |       821.3 |
----------------------------------------------------------------------------------------------------
    4096 | rmsnorm_attn       |        87.9 |      11.1%
    4096 | q_proj             |        38.7 |       4.9%
    4096 | kv_proj            |        26.1 |       3.3%
    4096 | rope               |       174.1 |      22.0%
    4096 | attn               |        62.0 |       7.8%
    4096 | o_proj             |        38.6 |       4.9%
    4096 | residual_attn      |        19.2 |       2.4%
    4096 | rmsnorm_mlp        |        90.9 |      11.5%
    4096 | gate_up_proj       |        42.0 |       5.3%
    4096 | silu_mul           |        63.8 |       8.0%
    4096 | down_proj          |        30.1 |       3.8%
    4096 | residual_mlp       |        17.4 |       2.2%
    4096 | LAYER TOTAL        |       792.8 |
----------------------------------------------------------------------------------------------------
   16384 | rmsnorm_attn       |        90.6 |      11.2%
   16384 | q_proj             |        39.7 |       4.9%
   16384 | kv_proj            |        26.5 |       3.3%
   16384 | rope               |       176.9 |      21.8%
   16384 | attn               |        63.7 |       7.9%
   16384 | o_proj             |        39.6 |       4.9%
   16384 | residual_attn      |        19.6 |       2.4%
   16384 | rmsnorm_mlp        |        93.1 |      11.5%
   16384 | gate_up_proj       |        43.0 |       5.3%
   16384 | silu_mul           |        66.1 |       8.2%
   16384 | down_proj          |        30.8 |       3.8%
   16384 | residual_mlp       |        17.5 |       2.2%
   16384 | LAYER TOTAL        |       810.5 |
----------------------------------------------------------------------------------------------------
   65536 | rmsnorm_attn       |        89.9 |      11.1%
   65536 | q_proj             |        40.3 |       5.0%
   65536 | kv_proj            |        26.7 |       3.3%
   65536 | rope               |       177.1 |      21.9%
   65536 | attn               |        63.3 |       7.8%
   65536 | o_proj             |        40.4 |       5.0%
   65536 | residual_attn      |        19.5 |       2.4%
   65536 | rmsnorm_mlp        |        92.9 |      11.5%
   65536 | gate_up_proj       |        43.2 |       5.3%
   65536 | silu_mul           |        66.2 |       8.2%
   65536 | down_proj          |        31.3 |       3.9%
   65536 | residual_mlp       |        17.4 |       2.2%
   65536 | LAYER TOTAL        |       810.0 |
----------------------------------------------------------------------------------------------------
  131072 | rmsnorm_attn       |        92.8 |      11.0%
  131072 | q_proj             |        42.2 |       5.0%
  131072 | kv_proj            |        28.4 |       3.4%
  131072 | rope               |       181.7 |      21.6%
  131072 | attn               |        65.2 |       7.8%
  131072 | o_proj             |        41.9 |       5.0%
  131072 | residual_attn      |        19.9 |       2.4%
  131072 | rmsnorm_mlp        |        95.4 |      11.4%
  131072 | gate_up_proj       |        45.3 |       5.4%
  131072 | silu_mul           |        67.9 |       8.1%
  131072 | down_proj          |        32.9 |       3.9%
  131072 | residual_mlp       |        18.1 |       2.2%
  131072 | LAYER TOTAL        |       839.9 |
----------------------------------------------------------------------------------------------------
