
============================================================
  TP=2  rank 0 → cuda:1, rank 1 → cuda:2  (e2e)
============================================================

====================================================================================================
  E2E Latency (median of N iters) | TP=2 rank=0
====================================================================================================
     Seq | Stage              |  Median(us) | % of layer
----------------------------------------------------------------------------------------------------
    1024 | rmsnorm_attn       |        96.0 |       7.3%
    1024 | qkv_proj           |        53.3 |       4.1%
    1024 | rope               |       174.6 |      13.3%
    1024 | attn               |        66.1 |       5.0%
    1024 | o_proj             |        51.6 |       3.9%
    1024 | allreduce_attn     |       229.5 |      17.5%
    1024 | residual_attn      |         5.6 |       0.4%
    1024 | rmsnorm_mlp        |        44.0 |       3.4%
    1024 | gate_up_proj       |        79.0 |       6.0%
    1024 | silu_mul           |        40.0 |       3.1%
    1024 | down_proj          |        46.9 |       3.6%
    1024 | allreduce_mlp      |       279.6 |      21.3%
    1024 | residual_mlp       |         6.0 |       0.5%
    1024 | LAYER TOTAL        |      1310.5 |
----------------------------------------------------------------------------------------------------
    4096 | rmsnorm_attn       |        98.2 |       9.3%
    4096 | qkv_proj           |        52.6 |       5.0%
    4096 | rope               |       178.8 |      16.9%
    4096 | attn               |        71.9 |       6.8%
    4096 | o_proj             |        52.9 |       5.0%
    4096 | allreduce_attn     |        84.3 |       7.9%
    4096 | residual_attn      |        32.6 |       3.1%
    4096 | rmsnorm_mlp        |       103.0 |       9.7%
    4096 | gate_up_proj       |        80.9 |       7.6%
    4096 | silu_mul           |        45.4 |       4.3%
    4096 | down_proj          |        48.2 |       4.5%
    4096 | allreduce_mlp      |        73.3 |       6.9%
    4096 | residual_mlp       |        31.0 |       2.9%
    4096 | LAYER TOTAL        |      1060.4 |
----------------------------------------------------------------------------------------------------
   16384 | rmsnorm_attn       |        96.0 |       9.2%
   16384 | qkv_proj           |        52.3 |       5.0%
   16384 | rope               |       175.6 |      16.9%
   16384 | attn               |        85.8 |       8.2%
   16384 | o_proj             |        39.7 |       3.8%
   16384 | allreduce_attn     |        81.6 |       7.8%
   16384 | residual_attn      |        32.4 |       3.1%
   16384 | rmsnorm_mlp        |       100.0 |       9.6%
   16384 | gate_up_proj       |        80.8 |       7.8%
   16384 | silu_mul           |        41.0 |       3.9%
   16384 | down_proj          |        47.8 |       4.6%
   16384 | allreduce_mlp      |        69.6 |       6.7%
   16384 | residual_mlp       |        30.0 |       2.9%
   16384 | LAYER TOTAL        |      1040.7 |
----------------------------------------------------------------------------------------------------
   65536 | rmsnorm_attn       |        96.5 |       9.3%
   65536 | qkv_proj           |        52.4 |       5.0%
   65536 | rope               |       174.0 |      16.7%
   65536 | attn               |       113.1 |      10.9%
   65536 | o_proj             |        20.4 |       2.0%
   65536 | allreduce_attn     |        83.9 |       8.1%
   65536 | residual_attn      |        31.4 |       3.0%
   65536 | rmsnorm_mlp        |        99.4 |       9.6%
   65536 | gate_up_proj       |        81.0 |       7.8%
   65536 | silu_mul           |        42.2 |       4.1%
   65536 | down_proj          |        48.3 |       4.6%
   65536 | allreduce_mlp      |        89.3 |       8.6%
   65536 | residual_mlp       |        29.2 |       2.8%
   65536 | LAYER TOTAL        |      1040.0 |
----------------------------------------------------------------------------------------------------
  131072 | rmsnorm_attn       |        97.7 |       9.3%
  131072 | qkv_proj           |        52.4 |       5.0%
  131072 | rope               |       176.6 |      16.7%
  131072 | attn               |       138.7 |      13.1%
  131072 | o_proj             |        20.4 |       1.9%
  131072 | allreduce_attn     |        71.2 |       6.8%
  131072 | residual_attn      |        31.5 |       3.0%
  131072 | rmsnorm_mlp        |       100.8 |       9.6%
  131072 | gate_up_proj       |        80.7 |       7.6%
  131072 | silu_mul           |        43.3 |       4.1%
  131072 | down_proj          |        47.9 |       4.5%
  131072 | allreduce_mlp      |        86.3 |       8.2%
  131072 | residual_mlp       |        29.5 |       2.8%
  131072 | LAYER TOTAL        |      1054.8 |
----------------------------------------------------------------------------------------------------
