
============================================================
  TP=2  rank 0 → cuda:1, rank 1 → cuda:2  (e2e)
============================================================

====================================================================================================
  E2E Latency (median of N iters) | TP=2 rank=0
====================================================================================================
     Seq | Stage              |  Median(us) | % of layer
----------------------------------------------------------------------------------------------------
    1024 | rmsnorm_attn       |        88.8 |       8.3%
    1024 | q_proj             |        47.3 |       4.4%
    1024 | kv_proj            |        26.1 |       2.4%
    1024 | rope               |       167.0 |      15.6%
    1024 | attn               |        62.3 |       5.8%
    1024 | o_proj             |        48.5 |       4.5%
    1024 | allreduce_attn     |       156.0 |      14.5%
    1024 | residual_attn      |         5.6 |       0.5%
    1024 | rmsnorm_mlp        |        50.5 |       4.7%
    1024 | gate_up_proj       |        77.3 |       7.2%
    1024 | silu_mul           |        35.5 |       3.3%
    1024 | down_proj          |        46.0 |       4.3%
    1024 | allreduce_mlp      |       172.4 |      16.1%
    1024 | residual_mlp       |         5.8 |       0.5%
    1024 | LAYER TOTAL        |      1072.6 |
----------------------------------------------------------------------------------------------------
    4096 | rmsnorm_attn       |        88.2 |       8.4%
    4096 | q_proj             |        47.4 |       4.5%
    4096 | kv_proj            |        25.7 |       2.4%
    4096 | rope               |       166.5 |      15.9%
    4096 | attn               |        67.2 |       6.4%
    4096 | o_proj             |        47.4 |       4.5%
    4096 | allreduce_attn     |       143.1 |      13.6%
    4096 | residual_attn      |         5.6 |       0.5%
    4096 | rmsnorm_mlp        |        61.2 |       5.8%
    4096 | gate_up_proj       |        77.3 |       7.4%
    4096 | silu_mul           |        34.7 |       3.3%
    4096 | down_proj          |        46.1 |       4.4%
    4096 | allreduce_mlp      |       154.0 |      14.7%
    4096 | residual_mlp       |         5.8 |       0.6%
    4096 | LAYER TOTAL        |      1050.0 |
----------------------------------------------------------------------------------------------------
   16384 | rmsnorm_attn       |        88.9 |       8.8%
   16384 | q_proj             |        47.3 |       4.7%
   16384 | kv_proj            |        25.7 |       2.5%
   16384 | rope               |       169.3 |      16.7%
   16384 | attn               |        83.0 |       8.2%
   16384 | o_proj             |        34.3 |       3.4%
   16384 | allreduce_attn     |        90.0 |       8.9%
   16384 | residual_attn      |        29.5 |       2.9%
   16384 | rmsnorm_mlp        |        93.5 |       9.2%
   16384 | gate_up_proj       |        77.8 |       7.7%
   16384 | silu_mul           |        36.2 |       3.6%
   16384 | down_proj          |        46.2 |       4.5%
   16384 | allreduce_mlp      |        71.3 |       7.0%
   16384 | residual_mlp       |        27.5 |       2.7%
   16384 | LAYER TOTAL        |      1015.9 |
----------------------------------------------------------------------------------------------------
   65536 | rmsnorm_attn       |        90.3 |       8.9%
   65536 | q_proj             |        47.6 |       4.7%
   65536 | kv_proj            |        26.2 |       2.6%
   65536 | rope               |       170.3 |      16.7%
   65536 | attn               |       111.8 |      11.0%
   65536 | o_proj             |        20.6 |       2.0%
   65536 | allreduce_attn     |        65.9 |       6.5%
   65536 | residual_attn      |        30.5 |       3.0%
   65536 | rmsnorm_mlp        |        94.6 |       9.3%
   65536 | gate_up_proj       |        78.2 |       7.7%
   65536 | silu_mul           |        37.2 |       3.7%
   65536 | down_proj          |        46.4 |       4.6%
   65536 | allreduce_mlp      |        64.6 |       6.4%
   65536 | residual_mlp       |        28.2 |       2.8%
   65536 | LAYER TOTAL        |      1016.7 |
----------------------------------------------------------------------------------------------------
  131072 | rmsnorm_attn       |        90.7 |       8.9%
  131072 | q_proj             |        47.4 |       4.7%
  131072 | kv_proj            |        26.2 |       2.6%
  131072 | rope               |       170.7 |      16.8%
  131072 | attn               |       136.4 |      13.4%
  131072 | o_proj             |        20.7 |       2.0%
  131072 | allreduce_attn     |        40.8 |       4.0%
  131072 | residual_attn      |        30.6 |       3.0%
  131072 | rmsnorm_mlp        |        94.8 |       9.3%
  131072 | gate_up_proj       |        78.2 |       7.7%
  131072 | silu_mul           |        37.9 |       3.7%
  131072 | down_proj          |        46.7 |       4.6%
  131072 | allreduce_mlp      |        64.6 |       6.4%
  131072 | residual_mlp       |        28.4 |       2.8%
  131072 | LAYER TOTAL        |      1015.4 |
----------------------------------------------------------------------------------------------------
