Tech node (nm), Capacity (bytes), Number of banks, Associativity, Output width (bits), Access time (ns), Random cycle time (ns), Dynamic search energy (nJ), Dynamic read energy (nJ), Dynamic write energy (nJ), Standby leakage per bank(mW), Area (mm2), Ndwl, Ndbl, Nspd, Ndcm, Ndsam_level_1, Ndsam_level_2, Data arrary area efficiency %, Ntwl, Ntbl, Ntspd, Ntcm, Ntsam_level_1, Ntsam_level_2, Tag arrary area efficiency %, 
22, 1228800, 1, 2, 512, 1.27769, 1.52262, N/A, 0.127345, 0.13124, 177.713, 1.45233, 2, 16, 2, 4, 2, 1, 53.8093, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 1228800, 1, 2, 512, 1.27769, 1.52262, N/A, 0.127345, 0.13124, 177.713, 1.45233, 2, 16, 2, 4, 2, 1, 53.8093, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 1228800, 1, 2, 512, 1.27769, 1.52262, N/A, 0.127345, 0.13124, 177.713, 1.45233, 2, 16, 2, 4, 2, 1, 53.8093, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 1228800, 1, 2, 512, 1.27769, 1.52262, N/A, 0.127345, 0.13124, 177.713, 1.45233, 2, 16, 2, 4, 2, 1, 53.8093, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 1228800, 1, 2, 512, 1.27769, 1.52262, N/A, 0.127345, 0.13124, 177.713, 1.45233, 2, 16, 2, 4, 2, 1, 53.8093, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 1228800, 1, 2, 512, 1.27769, 1.52262, N/A, 0.127345, 0.13124, 177.713, 1.45233, 2, 16, 2, 4, 2, 1, 53.8093, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 1228800, 1, 2, 512, 1.27769, 1.52262, N/A, 0.127345, 0.13124, 177.713, 1.45233, 2, 16, 2, 4, 2, 1, 53.8093, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 1228800, 1, 2, 512, 1.27769, 1.52262, N/A, 0.127345, 0.13124, 177.713, 1.45233, 2, 16, 2, 4, 2, 1, 53.8093, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 1228800, 1, 2, 512, 1.27769, 1.52262, N/A, 0.127345, 0.13124, 177.713, 1.45233, 2, 16, 2, 4, 2, 1, 53.8093, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 1228800, 1, 2, 512, 1.27769, 1.52262, N/A, 0.127345, 0.13124, 177.713, 1.45233, 2, 16, 2, 4, 2, 1, 53.8093, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 1228800, 1, 2, 512, 1.27769, 1.52262, N/A, 0.127345, 0.13124, 177.713, 1.45233, 2, 16, 2, 4, 2, 1, 53.8093, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 1228800, 1, 2, 512, 1.27769, 1.52262, N/A, 0.127345, 0.13124, 177.713, 1.45233, 2, 16, 2, 4, 2, 1, 53.8093, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 1228800, 1, 2, 512, 1.27769, 1.52262, N/A, 0.127345, 0.13124, 177.713, 1.45233, 2, 16, 2, 4, 2, 1, 53.8093, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 1228800, 1, 2, 512, 1.27769, 1.52262, N/A, 0.127345, 0.13124, 177.713, 1.45233, 2, 16, 2, 4, 2, 1, 53.8093, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 1228800, 1, 2, 512, 1.27769, 1.52262, N/A, 0.127345, 0.13124, 177.713, 1.45233, 2, 16, 2, 4, 2, 1, 53.8093, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 1228800, 1, 2, 512, 1.27769, 1.52262, N/A, 0.127345, 0.13124, 177.713, 1.45233, 2, 16, 2, 4, 2, 1, 53.8093, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 1228800, 1, 2, 512, 1.27769, 1.52262, N/A, 0.127345, 0.13124, 177.713, 1.45233, 2, 16, 2, 4, 2, 1, 53.8093, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 1228800, 1, 2, 512, 1.27769, 1.52262, N/A, 0.127345, 0.13124, 177.713, 1.45233, 2, 16, 2, 4, 2, 1, 53.8093, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 1228800, 1, 2, 512, 1.27769, 1.52262, N/A, 0.127345, 0.13124, 177.713, 1.45233, 2, 16, 2, 4, 2, 1, 53.8093, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 1228800, 1, 2, 512, 1.27769, 1.52262, N/A, 0.127345, 0.13124, 177.713, 1.45233, 2, 16, 2, 4, 2, 1, 53.8093, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 1228800, 1, 2, 512, 1.27769, 1.52262, N/A, 0.127345, 0.13124, 177.713, 1.45233, 2, 16, 2, 4, 2, 1, 53.8093, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 1228800, 1, 2, 512, 1.27769, 1.52262, N/A, 0.127345, 0.13124, 177.713, 1.45233, 2, 16, 2, 4, 2, 1, 53.8093, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 1228800, 1, 2, 512, 1.27769, 1.52262, N/A, 0.127345, 0.13124, 177.713, 1.45233, 2, 16, 2, 4, 2, 1, 53.8093, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 1228800, 1, 2, 512, 1.27769, 1.52262, N/A, 0.127345, 0.13124, 177.713, 1.45233, 2, 16, 2, 4, 2, 1, 53.8093, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 1228800, 1, 2, 512, 1.27769, 1.52262, N/A, 0.127345, 0.13124, 177.713, 1.45233, 2, 16, 2, 4, 2, 1, 53.8093, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 1228800, 1, 2, 512, 1.27769, 1.52262, N/A, 0.127345, 0.13124, 177.713, 1.45233, 2, 16, 2, 4, 2, 1, 53.8093, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 1228800, 1, 2, 512, 1.27769, 1.52262, N/A, 0.127345, 0.13124, 177.713, 1.45233, 2, 16, 2, 4, 2, 1, 53.8093, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
