Tech node (nm), Capacity (bytes), Number of banks, Associativity, Output width (bits), Access time (ns), Random cycle time (ns), Dynamic search energy (nJ), Dynamic read energy (nJ), Dynamic write energy (nJ), Standby leakage per bank(mW), Area (mm2), Ndwl, Ndbl, Nspd, Ndcm, Ndsam_level_1, Ndsam_level_2, Data arrary area efficiency %, Ntwl, Ntbl, Ntspd, Ntcm, Ntsam_level_1, Ntsam_level_2, Tag arrary area efficiency %, 
22, 614400, 1, 2, 512, 0.942566, 1.52262, N/A, 0.0808801, 0.0847754, 88.8565, 0.699561, 2, 8, 2, 4, 2, 1, 55.8555, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 614400, 1, 2, 512, 0.942566, 1.52262, N/A, 0.0808801, 0.0847754, 88.8565, 0.699561, 2, 8, 2, 4, 2, 1, 55.8555, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 614400, 1, 2, 512, 0.942566, 1.52262, N/A, 0.0808801, 0.0847754, 88.8565, 0.699561, 2, 8, 2, 4, 2, 1, 55.8555, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 614400, 1, 2, 512, 0.942566, 1.52262, N/A, 0.0808801, 0.0847754, 88.8565, 0.699561, 2, 8, 2, 4, 2, 1, 55.8555, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 614400, 1, 2, 512, 0.942566, 1.52262, N/A, 0.0808801, 0.0847754, 88.8565, 0.699561, 2, 8, 2, 4, 2, 1, 55.8555, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 614400, 1, 2, 512, 0.942566, 1.52262, N/A, 0.0808801, 0.0847754, 88.8565, 0.699561, 2, 8, 2, 4, 2, 1, 55.8555, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 614400, 1, 2, 512, 0.942566, 1.52262, N/A, 0.0808801, 0.0847754, 88.8565, 0.699561, 2, 8, 2, 4, 2, 1, 55.8555, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 614400, 1, 2, 512, 0.942566, 1.52262, N/A, 0.0808801, 0.0847754, 88.8565, 0.699561, 2, 8, 2, 4, 2, 1, 55.8555, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 614400, 1, 2, 512, 0.942566, 1.52262, N/A, 0.0808801, 0.0847754, 88.8565, 0.699561, 2, 8, 2, 4, 2, 1, 55.8555, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 614400, 1, 2, 512, 0.942566, 1.52262, N/A, 0.0808801, 0.0847754, 88.8565, 0.699561, 2, 8, 2, 4, 2, 1, 55.8555, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 614400, 1, 2, 512, 0.942566, 1.52262, N/A, 0.0808801, 0.0847754, 88.8565, 0.699561, 2, 8, 2, 4, 2, 1, 55.8555, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 614400, 1, 2, 512, 0.942566, 1.52262, N/A, 0.0808801, 0.0847754, 88.8565, 0.699561, 2, 8, 2, 4, 2, 1, 55.8555, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 614400, 1, 2, 512, 0.942566, 1.52262, N/A, 0.0808801, 0.0847754, 88.8565, 0.699561, 2, 8, 2, 4, 2, 1, 55.8555, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 614400, 1, 2, 512, 0.942566, 1.52262, N/A, 0.0808801, 0.0847754, 88.8565, 0.699561, 2, 8, 2, 4, 2, 1, 55.8555, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 614400, 1, 2, 512, 0.942566, 1.52262, N/A, 0.0808801, 0.0847754, 88.8565, 0.699561, 2, 8, 2, 4, 2, 1, 55.8555, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 614400, 1, 2, 512, 0.942566, 1.52262, N/A, 0.0808801, 0.0847754, 88.8565, 0.699561, 2, 8, 2, 4, 2, 1, 55.8555, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 614400, 1, 2, 512, 0.942566, 1.52262, N/A, 0.0808801, 0.0847754, 88.8565, 0.699561, 2, 8, 2, 4, 2, 1, 55.8555, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 614400, 1, 2, 512, 0.942566, 1.52262, N/A, 0.0808801, 0.0847754, 88.8565, 0.699561, 2, 8, 2, 4, 2, 1, 55.8555, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 614400, 1, 2, 512, 0.942566, 1.52262, N/A, 0.0808801, 0.0847754, 88.8565, 0.699561, 2, 8, 2, 4, 2, 1, 55.8555, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 614400, 1, 2, 512, 0.942566, 1.52262, N/A, 0.0808801, 0.0847754, 88.8565, 0.699561, 2, 8, 2, 4, 2, 1, 55.8555, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 614400, 1, 2, 512, 0.942566, 1.52262, N/A, 0.0808801, 0.0847754, 88.8565, 0.699561, 2, 8, 2, 4, 2, 1, 55.8555, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 614400, 1, 2, 512, 0.942566, 1.52262, N/A, 0.0808801, 0.0847754, 88.8565, 0.699561, 2, 8, 2, 4, 2, 1, 55.8555, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 614400, 1, 2, 512, 0.942566, 1.52262, N/A, 0.0808801, 0.0847754, 88.8565, 0.699561, 2, 8, 2, 4, 2, 1, 55.8555, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 614400, 1, 2, 512, 0.942566, 1.52262, N/A, 0.0808801, 0.0847754, 88.8565, 0.699561, 2, 8, 2, 4, 2, 1, 55.8555, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 614400, 1, 2, 512, 0.942566, 1.52262, N/A, 0.0808801, 0.0847754, 88.8565, 0.699561, 2, 8, 2, 4, 2, 1, 55.8555, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
