key_hash,config_name,config_path,model,operation,batch_size,seq,tp,dp,pp,sp,cp,physical_topology,num_gpus,logical_topology,wall_time,gpu_time,comm_time,overlap,compute_util,memory_util,status,created_at
018eff382dd3999ba52b349b35d66da06bb65d5d14056f09de84c96372caaadd,tp16_hbm4_mesh2d_4x4_onering_qwen_gqa_baseline_fwd_block2x2_bs1_sl65536,/home/haotian/waferchip/mesh2D/astra_sim_picasso/examples/run_scripts/analytical/congestion_aware/configs/gqa_batch_scaling/tp16_hbm4_mesh2d_4x4_onering_qwen_gqa_baseline_fwd_block2x2_bs1_sl65536.json,qwen,gqa_baseline_fwd_block2x2,64,65536,16,,,,,mesh2d,4x4,onering,293429,275164,18265,,64.226,41.515,SUCCESS,2026-03-06 17:21:37
8435845383f9115e4186166b080b9a530057fa9e856bc639387105275868a28e,tp16_hbm4_mesh2d_4x4_onering_qwen_gqa_hmp_fwd_block2x2_bs1_sl65536,/home/haotian/waferchip/mesh2D/astra_sim_picasso/examples/run_scripts/analytical/congestion_aware/configs/gqa_batch_scaling/tp16_hbm4_mesh2d_4x4_onering_qwen_gqa_hmp_fwd_block2x2_bs1_sl65536.json,qwen,gqa_hmp_fwd_block2x2,64,65536,16,,,,,mesh2d,4x4,onering,288690,288690,,,65.878,39.633,SUCCESS,2026-03-06 17:21:37
52350c8ddd3d8e03ed6f4f963ac4760311048b1d53b217bdccd954f90ec078ae,tp16_hbm4_mesh2d_4x4_onering_qwen_gqa_baseline_fwd_block2x2_bs2_sl65536,/home/haotian/waferchip/mesh2D/astra_sim_picasso/examples/run_scripts/analytical/congestion_aware/configs/gqa_batch_scaling/tp16_hbm4_mesh2d_4x4_onering_qwen_gqa_baseline_fwd_block2x2_bs2_sl65536.json,qwen,gqa_baseline_fwd_block2x2,64,65536,16,,,,,mesh2d,4x4,onering,293429,275164,18265,,64.226,41.515,SUCCESS,2026-03-06 17:21:39
8ada5a3ac30b753df4788d388d30e7c25d30b03cf980f24f1844d8d5f236a8e2,tp16_hbm4_mesh2d_4x4_onering_qwen_gqa_hmp_fwd_block2x2_bs2_sl65536,/home/haotian/waferchip/mesh2D/astra_sim_picasso/examples/run_scripts/analytical/congestion_aware/configs/gqa_batch_scaling/tp16_hbm4_mesh2d_4x4_onering_qwen_gqa_hmp_fwd_block2x2_bs2_sl65536.json,qwen,gqa_hmp_fwd_block2x2,64,65536,16,,,,,mesh2d,4x4,onering,288690,288690,,,65.878,39.633,SUCCESS,2026-03-06 17:21:39
d7b51c06b1e5975a9c8dc1744fac15666be5fca1b0fd647fd140daeb63645971,tp16_hbm4_mesh2d_4x4_onering_qwen_gqa_baseline_fwd_block2x2_bs4_sl65536,/home/haotian/waferchip/mesh2D/astra_sim_picasso/examples/run_scripts/analytical/congestion_aware/configs/gqa_batch_scaling/tp16_hbm4_mesh2d_4x4_onering_qwen_gqa_baseline_fwd_block2x2_bs4_sl65536.json,qwen,gqa_baseline_fwd_block2x2,64,65536,16,,,,,mesh2d,4x4,onering,293429,275164,18265,,64.226,41.515,SUCCESS,2026-03-06 17:21:42
91d4017369b4e2689472be6a20624483203304a3c945cc24ba456e47b6bfe136,tp16_hbm4_mesh2d_4x4_onering_qwen_gqa_hmp_fwd_block2x2_bs4_sl65536,/home/haotian/waferchip/mesh2D/astra_sim_picasso/examples/run_scripts/analytical/congestion_aware/configs/gqa_batch_scaling/tp16_hbm4_mesh2d_4x4_onering_qwen_gqa_hmp_fwd_block2x2_bs4_sl65536.json,qwen,gqa_hmp_fwd_block2x2,64,65536,16,,,,,mesh2d,4x4,onering,288690,288690,,,65.878,39.633,SUCCESS,2026-03-06 17:21:42
1aec638f2c8e1f72c410ab9ccdc08c171a0f698156a8f48213d9a608a43681ce,tp16_hbm4_mesh2d_4x4_onering_qwen_gqa_baseline_fwd_block2x2_bs8_sl65536,/home/haotian/waferchip/mesh2D/astra_sim_picasso/examples/run_scripts/analytical/congestion_aware/configs/gqa_batch_scaling/tp16_hbm4_mesh2d_4x4_onering_qwen_gqa_baseline_fwd_block2x2_bs8_sl65536.json,qwen,gqa_baseline_fwd_block2x2,64,65536,16,,,,,mesh2d,4x4,onering,293429,275164,18265,,64.226,41.515,SUCCESS,2026-03-06 17:21:44
7d2f49e0448b8b5d4eae3299487fb5d03fdef2efb2f6652113ce45ffbaa95d96,tp16_hbm4_mesh2d_4x4_onering_qwen_gqa_hmp_fwd_block2x2_bs8_sl65536,/home/haotian/waferchip/mesh2D/astra_sim_picasso/examples/run_scripts/analytical/congestion_aware/configs/gqa_batch_scaling/tp16_hbm4_mesh2d_4x4_onering_qwen_gqa_hmp_fwd_block2x2_bs8_sl65536.json,qwen,gqa_hmp_fwd_block2x2,64,65536,16,,,,,mesh2d,4x4,onering,288690,288690,,,65.878,39.633,SUCCESS,2026-03-06 17:21:44
0e9f7aeff6364d13b18fa6511aec1ba513849763d7bbd2ba85192a7306cb2dbc,tp16_hbm4_mesh2d_4x4_onering_qwen_gqa_baseline_fwd_block2x2_bs16_sl65536,/home/haotian/waferchip/mesh2D/astra_sim_picasso/examples/run_scripts/analytical/congestion_aware/configs/gqa_batch_scaling/tp16_hbm4_mesh2d_4x4_onering_qwen_gqa_baseline_fwd_block2x2_bs16_sl65536.json,qwen,gqa_baseline_fwd_block2x2,64,65536,16,,,,,mesh2d,4x4,onering,293429,275164,18265,,64.226,41.515,SUCCESS,2026-03-06 17:21:47
51d4ba56a757ad3d2e8fe9fd64f1fde8b76c3476769fbb2914eca3b3fbcc6d17,tp16_hbm4_mesh2d_4x4_onering_qwen_gqa_hmp_fwd_block2x2_bs16_sl65536,/home/haotian/waferchip/mesh2D/astra_sim_picasso/examples/run_scripts/analytical/congestion_aware/configs/gqa_batch_scaling/tp16_hbm4_mesh2d_4x4_onering_qwen_gqa_hmp_fwd_block2x2_bs16_sl65536.json,qwen,gqa_hmp_fwd_block2x2,64,65536,16,,,,,mesh2d,4x4,onering,288690,288690,,,65.878,39.633,SUCCESS,2026-03-06 17:21:47
49c8d1d691f1ae1c2779a7ccdd2a4b4685a53b94fab019fc1769cd7738165372,tp16_hbm4_mesh2d_4x4_onering_qwen_gqa_baseline_fwd_block2x2_bs32_sl65536,/home/haotian/waferchip/mesh2D/astra_sim_picasso/examples/run_scripts/analytical/congestion_aware/configs/gqa_batch_scaling/tp16_hbm4_mesh2d_4x4_onering_qwen_gqa_baseline_fwd_block2x2_bs32_sl65536.json,qwen,gqa_baseline_fwd_block2x2,64,65536,16,,,,,mesh2d,4x4,onering,293429,275164,18265,,64.226,41.515,SUCCESS,2026-03-06 17:21:49
eb7b1c79787be387c8f0837da2cc3afb0363872caf2b4d76c6e1fcc96f9d99cf,tp16_hbm4_mesh2d_4x4_onering_qwen_gqa_hmp_fwd_block2x2_bs32_sl65536,/home/haotian/waferchip/mesh2D/astra_sim_picasso/examples/run_scripts/analytical/congestion_aware/configs/gqa_batch_scaling/tp16_hbm4_mesh2d_4x4_onering_qwen_gqa_hmp_fwd_block2x2_bs32_sl65536.json,qwen,gqa_hmp_fwd_block2x2,64,65536,16,,,,,mesh2d,4x4,onering,288690,288690,,,65.878,39.633,SUCCESS,2026-03-06 17:21:49
188caaae69180686e6c1ad718dacbe1a5283c7026d439ff6702fd738c674a870,tp16_hbm4_mesh2d_4x4_onering_qwen_gqa_baseline_fwd_block2x2_bs64_sl65536,/home/haotian/waferchip/mesh2D/astra_sim_picasso/examples/run_scripts/analytical/congestion_aware/configs/gqa_batch_scaling/tp16_hbm4_mesh2d_4x4_onering_qwen_gqa_baseline_fwd_block2x2_bs64_sl65536.json,qwen,gqa_baseline_fwd_block2x2,64,65536,16,,,,,mesh2d,4x4,onering,293429,275164,18265,,64.226,41.515,SUCCESS,2026-03-06 17:21:52
fb21531bafafc631c0cd38649a0079c9b037f7b2b641952496477969c3a3149e,tp16_hbm4_mesh2d_4x4_onering_qwen_gqa_hmp_fwd_block2x2_bs64_sl65536,/home/haotian/waferchip/mesh2D/astra_sim_picasso/examples/run_scripts/analytical/congestion_aware/configs/gqa_batch_scaling/tp16_hbm4_mesh2d_4x4_onering_qwen_gqa_hmp_fwd_block2x2_bs64_sl65536.json,qwen,gqa_hmp_fwd_block2x2,64,65536,16,,,,,mesh2d,4x4,onering,288690,288690,,,65.878,39.633,SUCCESS,2026-03-06 17:21:52
fcb3cb464d6ee48b67ddea10d364a5e5b86df0a4695acb926db9d3ffee360cbd,tp16_hbm4_ring_mesh2d_4x4_onering_qwen_gqa_tp16_fwd_bs1_sl65536,/home/haotian/waferchip/mesh2D/astra_sim_picasso/examples/run_scripts/analytical/congestion_aware/configs/gqa_batch_scaling/tp16_hbm4_ring_mesh2d_4x4_onering_qwen_gqa_tp16_fwd_bs1_sl65536.json,onering,qwen_gqa_tp16_fwd,64,65536,16,,,,,ring,mesh2d,4x4,496581,260043,236538,,62.15,51.664,SUCCESS,2026-03-06 17:22:01
