key_hash,config_name,config_path,model,operation,batch_size,seq,tp,dp,pp,sp,cp,physical_topology,num_gpus,logical_topology,wall_time,gpu_time,comm_time,overlap,compute_util,memory_util,status,created_at
e3d0f90703fc2de61d5619498e156660d0b199be9e7f78307545570a2c004147,tp16_hbm4_60t_mesh2d_4x4_onering_qwen_gqa_baseline_fwd_block2x2_bs1_sl1024,/home/haotian/waferchip/mesh2D/astra_sim_picasso/examples/run_scripts/analytical/congestion_aware/configs/gqa_seq_scaling_60T/tp16_hbm4_60t_mesh2d_4x4_onering_qwen_gqa_baseline_fwd_block2x2_bs1_sl1024.json,onering,qwen_gqa_baseline_fwd_block2x2,1,1024,16,,,,,60t,mesh2d,4x4,18472,232,18240,,88.877,12.687,SUCCESS,2026-03-09 22:42:55
71726909fd6d4464306a4806b10af74c3925a19daee4a8add80fbe37bef42cd2,tp16_hbm4_60t_mesh2d_4x4_onering_qwen_gqa_baseline_fwd_block2x2_bs1_sl16384,/home/haotian/waferchip/mesh2D/astra_sim_picasso/examples/run_scripts/analytical/congestion_aware/configs/gqa_seq_scaling_60T/tp16_hbm4_60t_mesh2d_4x4_onering_qwen_gqa_baseline_fwd_block2x2_bs1_sl16384.json,onering,qwen_gqa_baseline_fwd_block2x2,1,16384,16,,,,,60t,mesh2d,4x4,19126,886,18240,,54.726,50.303,SUCCESS,2026-03-09 22:42:55
48edf36ed0c8b123eea65c15f47e46b09bc693bc2ad07369041f99a4364578e3,tp16_hbm4_60t_mesh2d_4x4_onering_qwen_gqa_baseline_fwd_block2x2_bs1_sl2048,/home/haotian/waferchip/mesh2D/astra_sim_picasso/examples/run_scripts/analytical/congestion_aware/configs/gqa_seq_scaling_60T/tp16_hbm4_60t_mesh2d_4x4_onering_qwen_gqa_baseline_fwd_block2x2_bs1_sl2048.json,onering,qwen_gqa_baseline_fwd_block2x2,1,2048,16,,,,,60t,mesh2d,4x4,18516,276,18240,,81.649,20.684,SUCCESS,2026-03-09 22:42:56
1f12fe5944bd20ee5f85590c0891b6fed83947f316c922aad2f230e08fa5673a,tp16_hbm4_60t_mesh2d_4x4_onering_qwen_gqa_baseline_fwd_block2x2_bs1_sl32768,/home/haotian/waferchip/mesh2D/astra_sim_picasso/examples/run_scripts/analytical/congestion_aware/configs/gqa_seq_scaling_60T/tp16_hbm4_60t_mesh2d_4x4_onering_qwen_gqa_baseline_fwd_block2x2_bs1_sl32768.json,onering,qwen_gqa_baseline_fwd_block2x2,1,32768,16,,,,,60t,mesh2d,4x4,19826,1586,18240,,49.333,56.235,SUCCESS,2026-03-09 22:42:57
6e5a9121a64cb5c2283479ef8129a2e490131d8391499593d11a064ac6a84553,tp16_hbm4_60t_mesh2d_4x4_onering_qwen_gqa_baseline_fwd_block2x2_bs1_sl4096,/home/haotian/waferchip/mesh2D/astra_sim_picasso/examples/run_scripts/analytical/congestion_aware/configs/gqa_seq_scaling_60T/tp16_hbm4_60t_mesh2d_4x4_onering_qwen_gqa_baseline_fwd_block2x2_bs1_sl4096.json,onering,qwen_gqa_baseline_fwd_block2x2,1,4096,16,,,,,60t,mesh2d,4x4,18602,362,18240,,72.268,30.987,SUCCESS,2026-03-09 22:42:58
f65e996ed189f30184b1817cb2c5be2402aa9b526951773f8e91273ea322bb34,tp16_hbm4_60t_mesh2d_4x4_onering_qwen_gqa_baseline_fwd_block2x2_bs1_sl65536,/home/haotian/waferchip/mesh2D/astra_sim_picasso/examples/run_scripts/analytical/congestion_aware/configs/gqa_seq_scaling_60T/tp16_hbm4_60t_mesh2d_4x4_onering_qwen_gqa_baseline_fwd_block2x2_bs1_sl65536.json,onering,qwen_gqa_baseline_fwd_block2x2,1,65536,16,,,,,60t,mesh2d,4x4,21224,2984,18240,,46.159,59.73,SUCCESS,2026-03-09 22:42:59
6f8cdbbcbdf0df9ebb01191a89c6af210e9562142783df0520bdec756d21b188,tp16_hbm4_60t_mesh2d_4x4_onering_qwen_gqa_baseline_fwd_block2x2_bs1_sl8192,/home/haotian/waferchip/mesh2D/astra_sim_picasso/examples/run_scripts/analytical/congestion_aware/configs/gqa_seq_scaling_60T/tp16_hbm4_60t_mesh2d_4x4_onering_qwen_gqa_baseline_fwd_block2x2_bs1_sl8192.json,onering,qwen_gqa_baseline_fwd_block2x2,1,8192,16,,,,,60t,mesh2d,4x4,18776,536,18240,,62.694,41.538,SUCCESS,2026-03-09 22:43:00
415380af3a4862d71c679ff6c8adc758fb7b1568897e574b7b20e3b6f5059e21,tp16_hbm4_60t_mesh2d_4x4_onering_qwen_gqa_hmp_fwd_block2x2_bs1_sl1024,/home/haotian/waferchip/mesh2D/astra_sim_picasso/examples/run_scripts/analytical/congestion_aware/configs/gqa_seq_scaling_60T/tp16_hbm4_60t_mesh2d_4x4_onering_qwen_gqa_hmp_fwd_block2x2_bs1_sl1024.json,onering,qwen_gqa_hmp_fwd_block2x2,1,1024,16,,,,,60t,mesh2d,4x4,338,338,,,92.109,9.378,SUCCESS,2026-03-09 22:43:00
841355be86fa673a10b0ee711426888a6a650bbfb735f730e27d0089d4e8c0ed,tp16_hbm4_60t_mesh2d_4x4_onering_qwen_gqa_hmp_fwd_block2x2_bs1_sl16384,/home/haotian/waferchip/mesh2D/astra_sim_picasso/examples/run_scripts/analytical/congestion_aware/configs/gqa_seq_scaling_60T/tp16_hbm4_60t_mesh2d_4x4_onering_qwen_gqa_hmp_fwd_block2x2_bs1_sl16384.json,onering,qwen_gqa_hmp_fwd_block2x2,1,16384,16,,,,,60t,mesh2d,4x4,992,992,,,59.475,45.158,SUCCESS,2026-03-09 22:43:00
fc40a9d19ffc4b8a846f59d9b1293ecabf372babec4456a0c4f1308f4de13b02,tp16_hbm4_60t_mesh2d_4x4_onering_qwen_gqa_hmp_fwd_block2x2_bs1_sl2048,/home/haotian/waferchip/mesh2D/astra_sim_picasso/examples/run_scripts/analytical/congestion_aware/configs/gqa_seq_scaling_60T/tp16_hbm4_60t_mesh2d_4x4_onering_qwen_gqa_hmp_fwd_block2x2_bs1_sl2048.json,onering,qwen_gqa_hmp_fwd_block2x2,1,2048,16,,,,,60t,mesh2d,4x4,382,382,,,86.51,15.542,SUCCESS,2026-03-09 22:43:00
