
============================================================
  TP=2  rank 0 → cuda:0, rank 1 → cuda:3  (e2e)
============================================================

====================================================================================================
  E2E Latency (median of N iters) | TP=2 rank=0
====================================================================================================
     Seq | Stage              |  Median(us) | % of layer
----------------------------------------------------------------------------------------------------
    1024 | rmsnorm_attn       |       112.9 |       9.0%
    1024 | qkv_proj           |        56.0 |       4.5%
    1024 | rope               |       214.1 |      17.2%
    1024 | attn               |        79.4 |       6.4%
    1024 | o_proj             |        57.5 |       4.6%
    1024 | allreduce_attn     |       306.1 |      24.5%
    1024 | residual_attn      |         5.5 |       0.4%
    1024 | rmsnorm_mlp        |        30.1 |       2.4%
    1024 | gate_up_proj       |        51.0 |       4.1%
    1024 | silu_mul           |        42.9 |       3.4%
    1024 | down_proj          |        47.6 |       3.8%
    1024 | allreduce_mlp      |        91.3 |       7.3%
    1024 | residual_mlp       |        12.9 |       1.0%
    1024 | LAYER TOTAL        |      1247.5 |
----------------------------------------------------------------------------------------------------
    2048 | rmsnorm_attn       |        98.5 |       8.0%
    2048 | qkv_proj           |        52.1 |       4.2%
    2048 | rope               |       183.6 |      14.9%
    2048 | attn               |        68.5 |       5.5%
    2048 | o_proj             |        50.8 |       4.1%
    2048 | allreduce_attn     |       301.4 |      24.4%
    2048 | residual_attn      |         5.5 |       0.4%
    2048 | rmsnorm_mlp        |        30.5 |       2.5%
    2048 | gate_up_proj       |        47.0 |       3.8%
    2048 | silu_mul           |        17.4 |       1.4%
    2048 | down_proj          |        33.1 |       2.7%
    2048 | allreduce_mlp      |        67.3 |       5.4%
    2048 | residual_mlp       |         5.8 |       0.5%
    2048 | LAYER TOTAL        |      1235.3 |
----------------------------------------------------------------------------------------------------
    4096 | rmsnorm_attn       |        97.8 |       7.9%
    4096 | qkv_proj           |        51.6 |       4.2%
    4096 | rope               |       181.7 |      14.7%
    4096 | attn               |        71.3 |       5.8%
    4096 | o_proj             |        50.5 |       4.1%
    4096 | allreduce_attn     |       482.6 |      38.9%
    4096 | residual_attn      |         5.4 |       0.4%
