
============================================================
  E2E — Single GPU cuda:0 — 100 iters — fused-qkv
============================================================

====================================================================================================
  E2E Latency (median of N iters) | TP=1 rank=0
====================================================================================================
     Seq | Stage              |  Median(us) | % of layer
----------------------------------------------------------------------------------------------------
    1024 | rmsnorm_attn       |        76.1 |      10.9%
    1024 | qkv_proj           |        59.9 |       8.6%
    1024 | rope               |       130.2 |      18.6%
    1024 | attn               |        56.4 |       8.1%
    1024 | o_proj             |        54.2 |       7.7%
    1024 | residual_attn      |         5.5 |       0.8%
    1024 | rmsnorm_mlp        |        78.2 |      11.2%
    1024 | gate_up_proj       |       110.8 |      15.8%
    1024 | silu_mul           |        15.9 |       2.3%
    1024 | down_proj          |        49.6 |       7.1%
    1024 | residual_mlp       |         5.4 |       0.8%
    1024 | LAYER TOTAL        |       700.3 |
----------------------------------------------------------------------------------------------------
    4096 | rmsnorm_attn       |        75.3 |      10.8%
    4096 | qkv_proj           |        59.8 |       8.6%
    4096 | rope               |       128.2 |      18.4%
    4096 | attn               |        62.6 |       9.0%
    4096 | o_proj             |        49.8 |       7.2%
    4096 | residual_attn      |         5.5 |       0.8%
    4096 | rmsnorm_mlp        |        77.8 |      11.2%
    4096 | gate_up_proj       |       110.5 |      15.9%
    4096 | silu_mul           |        15.8 |       2.3%
    4096 | down_proj          |        49.5 |       7.1%
    4096 | residual_mlp       |         5.4 |       0.8%
    4096 | LAYER TOTAL        |       695.8 |
----------------------------------------------------------------------------------------------------
   16384 | rmsnorm_attn       |        75.9 |      10.9%
   16384 | qkv_proj           |        60.0 |       8.6%
   16384 | rope               |       128.3 |      18.5%
   16384 | attn               |        82.0 |      11.8%
   16384 | o_proj             |        34.1 |       4.9%
   16384 | residual_attn      |         5.5 |       0.8%
   16384 | rmsnorm_mlp        |        75.1 |      10.8%
   16384 | gate_up_proj       |       110.8 |      15.9%
   16384 | silu_mul           |        15.8 |       2.3%
   16384 | down_proj          |        49.3 |       7.1%
   16384 | residual_mlp       |         5.4 |       0.8%
   16384 | LAYER TOTAL        |       695.0 |
----------------------------------------------------------------------------------------------------
   65536 | rmsnorm_attn       |        74.3 |      10.9%
   65536 | qkv_proj           |        59.6 |       8.7%
   65536 | rope               |       125.3 |      18.3%
   65536 | attn               |       113.0 |      16.5%
   65536 | o_proj             |        33.7 |       4.9%
   65536 | residual_attn      |         5.3 |       0.8%
   65536 | rmsnorm_mlp        |        41.0 |       6.0%
   65536 | gate_up_proj       |       109.9 |      16.1%
   65536 | silu_mul           |        15.7 |       2.3%
   65536 | down_proj          |        49.3 |       7.2%
   65536 | residual_mlp       |         5.4 |       0.8%
   65536 | LAYER TOTAL        |       684.0 |
----------------------------------------------------------------------------------------------------
  131072 | rmsnorm_attn       |        73.5 |      10.8%
  131072 | qkv_proj           |        59.2 |       8.7%
  131072 | rope               |       124.0 |      18.2%
  131072 | attn               |       156.7 |      23.0%
  131072 | o_proj             |        33.4 |       4.9%
  131072 | residual_attn      |         5.4 |       0.8%
  131072 | rmsnorm_mlp        |        26.8 |       3.9%
  131072 | gate_up_proj       |        85.5 |      12.5%
  131072 | silu_mul           |        15.7 |       2.3%
  131072 | down_proj          |        49.1 |       7.2%
  131072 | residual_mlp       |         5.3 |       0.8%
  131072 | LAYER TOTAL        |       682.0 |
----------------------------------------------------------------------------------------------------
  262144 | rmsnorm_attn       |        75.8 |       9.8%
  262144 | qkv_proj           |        60.0 |       7.7%
  262144 | rope               |       127.8 |      16.5%
  262144 | attn               |       239.9 |      30.9%
  262144 | o_proj             |        33.4 |       4.3%
  262144 | residual_attn      |         5.2 |       0.7%
  262144 | rmsnorm_mlp        |        26.9 |       3.5%
  262144 | gate_up_proj       |        85.4 |      11.0%
  262144 | silu_mul           |        15.9 |       2.1%
  262144 | down_proj          |        49.3 |       6.4%
  262144 | residual_mlp       |         5.3 |       0.7%
  262144 | LAYER TOTAL        |       775.5 |
----------------------------------------------------------------------------------------------------
  524288 | rmsnorm_attn       |        77.5 |       8.2%
  524288 | qkv_proj           |        60.8 |       6.4%
  524288 | rope               |       129.3 |      13.6%
  524288 | attn               |       410.6 |      43.2%
  524288 | o_proj             |        33.7 |       3.5%
  524288 | residual_attn      |         5.2 |       0.5%
  524288 | rmsnorm_mlp        |        27.1 |       2.9%
  524288 | gate_up_proj       |        85.4 |       9.0%
  524288 | silu_mul           |        16.1 |       1.7%
  524288 | down_proj          |        49.3 |       5.2%
  524288 | residual_mlp       |         5.4 |       0.6%
  524288 | LAYER TOTAL        |       949.4 |
----------------------------------------------------------------------------------------------------
 1048576 | rmsnorm_attn       |        79.2 |       6.1%
 1048576 | qkv_proj           |        61.4 |       4.7%
 1048576 | rope               |       130.7 |      10.1%
 1048576 | attn               |       754.9 |      58.1%
 1048576 | o_proj             |        33.7 |       2.6%
 1048576 | residual_attn      |         5.1 |       0.4%
 1048576 | rmsnorm_mlp        |        27.2 |       2.1%
 1048576 | gate_up_proj       |        85.3 |       6.6%
 1048576 | silu_mul           |        15.9 |       1.2%
 1048576 | down_proj          |        49.3 |       3.8%
 1048576 | residual_mlp       |         5.4 |       0.4%
 1048576 | LAYER TOTAL        |      1298.6 |
----------------------------------------------------------------------------------------------------
