seq,strategy,P_static_W,P_total_W,P_dynamic_W,E_total_nJ,E_static_nJ,E_dynamic_nJ,Dyn_pct
1024,HMP_reo,144.00,1193.43,1049.43,"5,390,465","650,415","4,740,050",87.9
2048,HMP_reo,144.00,1194.86,1050.86,"5,428,215","654,191","4,774,024",87.9
4096,HMP_reo,144.00,1197.65,1053.65,"5,503,712","661,740","4,841,972",88.0
8192,HMP_reo,144.00,1203.06,1059.06,"5,654,708","676,840","4,977,867",88.0
16384,HMP_reo,144.00,1213.18,1069.18,"5,956,697","707,039","5,249,658",88.1
32768,HMP_reo,144.00,1231.03,1087.03,"6,560,677","767,436","5,793,240",88.3
65536,HMP_reo,144.00,1259.45,1115.45,"7,768,636","888,232","6,880,404",88.6
131072,HMP_reo,144.00,1298.06,1154.06,"10,184,555","1,129,824","9,054,731",88.9
262144,HMP_reo,144.00,1340.58,1196.58,"15,016,394","1,613,009","13,403,385",89.3
524288,HMP_reo,144.00,1377.83,1233.83,"24,680,070","2,579,376","22,100,695",89.5
1048576,HMP_reo,144.00,1404.46,1260.46,"44,007,423","4,512,112","39,495,311",89.7
1024,hmp_reo_new,144.00,1101.60,957.60,"2,287,160","298,974","1,988,186",86.9
2048,hmp_reo_new,144.00,1105.82,961.82,"2,324,910","302,750","2,022,160",87.0
4096,hmp_reo_new,144.00,1113.95,969.95,"2,400,408","310,300","2,090,108",87.1
8192,hmp_reo_new,144.00,1129.08,985.08,"2,551,403","325,400","2,226,003",87.2
16384,hmp_reo_new,144.00,1155.49,1011.49,"2,853,392","355,598","2,497,794",87.5
32768,hmp_reo_new,144.00,1196.79,1052.79,"3,457,372","415,996","3,041,376",88.0
65536,hmp_reo_new,144.00,1251.52,1107.52,"4,665,331","536,792","4,128,540",88.5
131072,hmp_reo_new,144.00,1310.02,1166.02,"7,081,250","778,383","6,302,867",89.0
262144,hmp_reo_new,144.00,1359.80,1215.80,"11,913,089","1,261,568","10,651,521",89.4
524288,hmp_reo_new,144.00,1394.59,1250.59,"21,576,765","2,227,935","19,348,830",89.7
1048576,hmp_reo_new,144.00,1415.68,1271.68,"40,904,119","4,160,671","36,743,448",89.8
1024,hmp,144.00,1016.02,872.02,"2,316,959","328,380","1,988,578",85.8
2048,hmp,144.00,1020.84,876.84,"2,354,708","332,156","2,022,552",85.9
4096,hmp,144.00,1030.15,886.15,"2,430,206","339,706","2,090,500",86.0
8192,hmp,144.00,1047.60,903.60,"2,581,201","354,806","2,226,396",86.3
16384,hmp,144.00,1078.38,934.38,"2,883,191","385,004","2,498,186",86.6
32768,hmp,144.00,1127.41,983.41,"3,487,170","445,402","3,041,768",87.2
65536,hmp,144.00,1194.10,1050.10,"4,695,130","566,198","4,128,932",87.9
131072,hmp,144.00,1267.65,1123.65,"7,111,049","807,790","6,303,259",88.6
262144,hmp,144.00,1332.15,1188.15,"11,942,888","1,290,974","10,651,913",89.2
524288,hmp,144.00,1378.32,1234.32,"21,606,563","2,257,341","19,349,223",89.6
1048576,hmp,144.00,1406.77,1262.77,"40,933,917","4,190,077","36,743,840",89.8
1024,tp16,144.00,958.34,814.34,"2,340,746","351,720","1,989,026",85.0
2048,tp16,144.00,960.30,816.30,"2,381,275","357,080","2,024,195",85.0
4096,tp16,144.00,964.69,820.69,"2,462,044","367,510","2,094,534",85.1
8192,tp16,144.00,969.41,825.41,"2,625,164","389,953","2,235,211",85.1
16384,tp16,144.00,980.15,836.15,"2,949,965","433,400","2,516,565",85.3
32768,tp16,144.00,984.84,840.84,"3,606,622","527,350","3,079,273",85.4
65536,tp16,144.00,1021.19,877.19,"4,894,583","690,193","4,204,390",85.9
131072,tp16,144.00,983.17,839.17,"7,563,273","1,107,753","6,455,520",85.4
262144,tp16,144.00,976.98,832.98,"12,851,384","1,894,202","10,957,182",85.3
524288,tp16,144.00,972.13,828.13,"23,431,348","3,470,841","19,960,508",85.2
1048576,tp16,144.00,972.23,828.23,"44,567,940","6,601,081","37,966,860",85.2
1024,rubin,220.00,764.41,544.41,"2,514,804","723,774","1,791,030",71.2
2048,rubin,220.00,765.17,545.17,"2,553,790","734,261","1,819,529",71.2
4096,rubin,220.00,766.63,546.63,"2,631,758","755,231","1,876,527",71.3
8192,rubin,220.00,769.33,549.33,"2,787,696","797,174","1,990,522",71.4
16384,rubin,220.00,773.96,553.96,"3,099,573","881,060","2,218,513",71.6
32768,rubin,220.00,780.99,560.99,"3,723,326","1,048,832","2,674,494",71.8
65536,rubin,220.00,789.95,569.95,"4,970,833","1,384,376","3,586,456",72.2
131072,rubin,220.00,799.08,579.08,"7,465,848","2,055,467","5,410,381",72.5
262144,rubin,220.00,806.53,586.53,"12,455,873","3,397,643","9,058,231",72.7
524288,rubin,220.00,811.56,591.56,"22,435,927","6,081,997","16,353,931",72.9
1048576,rubin,220.00,814.55,594.55,"42,396,036","11,450,707","30,945,329",73.0
