model,dtype,num_gpus,batch,seq_len,stage,time_ms,time_pct,TFLOPS,compute_util_pct,bytes_GB,BW_TBs,bw_util_pct,arith_intensity,roofline_bound,ideal_ms,overhead_x
qwen3-235B-GQA-decode,fp8,1,1,1024,proj_qkv,0.0542,21.09,1.392,0.07,0.037779,0.6964,20.79,2.00,memory,0.0113,4.81
qwen3-235B-GQA-decode,fp8,1,1,1024,attn,0.1198,46.57,0.283,0.01,0.002132,0.0178,0.53,15.91,memory,0.0006,188.18
qwen3-235B-GQA-decode,fp8,1,1,1024,proj_o,0.0832,32.34,0.807,0.04,0.033587,0.4038,12.05,2.00,memory,0.0100,8.30
qwen3-235B-GQA-decode,fp8,1,1,1024,TOTAL,0.2572,100.00,0.686,0.03,0.073499,0.2858,8.53,2.40,memory,0.0219,11.72
qwen3-235B-GQA-decode,fp8,1,1,2048,proj_qkv,0.0696,27.59,1.084,0.05,0.037779,0.5426,16.20,2.00,memory,0.0113,6.17
qwen3-235B-GQA-decode,fp8,1,1,2048,attn,0.0976,38.67,0.695,0.04,0.004229,0.0433,1.29,16.03,memory,0.0013,77.31
qwen3-235B-GQA-decode,fp8,1,1,2048,proj_o,0.0852,33.74,0.788,0.04,0.033587,0.3944,11.77,2.00,memory,0.0100,8.49
qwen3-235B-GQA-decode,fp8,1,1,2048,TOTAL,0.2524,100.00,0.834,0.04,0.075596,0.2995,8.94,2.78,memory,0.0226,11.18
qwen3-235B-GQA-decode,fp8,1,1,4096,proj_qkv,0.0440,17.56,1.716,0.09,0.037779,0.8587,25.63,2.00,memory,0.0113,3.90
qwen3-235B-GQA-decode,fp8,1,1,4096,attn,0.1789,71.41,0.758,0.04,0.008423,0.0471,1.41,16.09,memory,0.0025,71.16
qwen3-235B-GQA-decode,fp8,1,1,4096,proj_o,0.0276,11.03,2.427,0.12,0.033587,1.2148,36.26,2.00,memory,0.0100,2.76
qwen3-235B-GQA-decode,fp8,1,1,4096,TOTAL,0.2506,100.00,1.110,0.06,0.079790,0.3184,9.51,3.49,memory,0.0238,10.52
qwen3-235B-GQA-decode,fp8,1,1,8192,proj_qkv,0.0709,25.40,1.066,0.05,0.037779,0.5332,15.92,2.00,memory,0.0113,6.28
qwen3-235B-GQA-decode,fp8,1,1,8192,attn,0.1820,65.25,1.489,0.08,0.016812,0.0924,2.76,16.12,memory,0.0050,36.27
qwen3-235B-GQA-decode,fp8,1,1,8192,proj_o,0.0261,9.35,2.573,0.13,0.033587,1.2879,38.44,2.00,memory,0.0100,2.60
qwen3-235B-GQA-decode,fp8,1,1,8192,TOTAL,0.2790,100.00,1.483,0.07,0.088179,0.3161,9.44,4.69,memory,0.0263,10.60
qwen3-235B-GQA-decode,fp8,1,1,16384,proj_qkv,0.1719,46.68,0.439,0.02,0.037779,0.2198,6.56,2.00,memory,0.0113,15.24
qwen3-235B-GQA-decode,fp8,1,1,16384,attn,0.1708,46.37,3.174,0.16,0.033589,0.1967,5.87,16.14,memory,0.0100,17.03
qwen3-235B-GQA-decode,fp8,1,1,16384,proj_o,0.0256,6.95,2.622,0.13,0.033587,1.3122,39.17,2.00,memory,0.0100,2.55
qwen3-235B-GQA-decode,fp8,1,1,16384,TOTAL,0.3683,100.00,1.859,0.09,0.104956,0.2850,8.51,6.52,memory,0.0313,11.76
qwen3-235B-GQA-decode,fp8,1,1,32768,proj_qkv,0.0768,14.98,0.983,0.05,0.037779,0.4917,14.68,2.00,memory,0.0113,6.81
qwen3-235B-GQA-decode,fp8,1,1,32768,attn,0.4121,80.36,2.631,0.13,0.067144,0.1629,4.86,16.15,memory,0.0200,20.56
qwen3-235B-GQA-decode,fp8,1,1,32768,proj_o,0.0239,4.65,2.812,0.14,0.033587,1.4073,42.01,2.00,memory,0.0100,2.38
