model,dtype,num_gpus,batch,seq_len,stage,time_ms,time_pct,TFLOPS,compute_util_pct,bytes_GB,BW_TBs,bw_util_pct
qwen3-235B-GQA-flash,fp8,1,1,1024,proj_qkv,0.0915,33.66,845.318,42.71,0.069206,0.7567,22.59
qwen3-235B-GQA-flash,fp8,1,1,1024,attn,0.1173,43.16,295.817,14.95,0.035652,0.3040,9.07
qwen3-235B-GQA-flash,fp8,1,1,1024,proj_o,0.0630,23.18,1090.868,55.12,0.067109,1.0653,31.80
qwen3-235B-GQA-flash,fp8,1,1,1024,TOTAL,0.2717,100.00,665.069,33.61,0.171966,0.6328,18.89
qwen3-235B-GQA-flash,fp8,1,1,2048,proj_qkv,0.1385,20.52,1116.775,56.43,0.100663,0.7271,21.70
qwen3-235B-GQA-flash,fp8,1,1,2048,attn,0.4190,62.11,331.190,16.74,0.071303,0.1702,5.08
qwen3-235B-GQA-flash,fp8,1,1,2048,proj_o,0.1172,17.37,1172.992,59.27,0.100663,0.8591,25.65
qwen3-235B-GQA-flash,fp8,1,1,2048,TOTAL,0.6747,100.00,638.602,32.27,0.272630,0.4041,12.06
qwen3-235B-GQA-flash,fp8,1,1,4096,proj_qkv,0.2373,11.42,1303.410,65.86,0.163578,0.6895,20.58
qwen3-235B-GQA-flash,fp8,1,1,4096,attn,1.6143,77.71,343.879,17.38,0.142606,0.0883,2.64
qwen3-235B-GQA-flash,fp8,1,1,4096,proj_o,0.2258,10.87,1217.299,61.51,0.167772,0.7430,22.18
qwen3-235B-GQA-flash,fp8,1,1,4096,TOTAL,2.0774,100.00,548.406,27.71,0.473956,0.2282,6.81
qwen3-235B-GQA-flash,fp8,1,1,8192,proj_qkv,0.4403,6.03,1404.635,70.98,0.289407,0.6573,19.62
qwen3-235B-GQA-flash,fp8,1,1,8192,attn,6.4230,87.97,345.711,17.47,0.285213,0.0444,1.33
qwen3-235B-GQA-flash,fp8,1,1,8192,proj_o,0.4377,5.99,1256.118,63.47,0.301990,0.6900,20.60
qwen3-235B-GQA-flash,fp8,1,1,8192,TOTAL,7.3010,100.00,464.148,23.45,0.876610,0.1201,3.58
qwen3-235B-GQA-flash,fp8,1,1,16384,proj_qkv,0.8636,3.21,1432.279,72.37,0.541065,0.6265,18.70
qwen3-235B-GQA-flash,fp8,1,1,16384,attn,25.1768,93.56,352.785,17.83,0.570425,0.0227,0.68
qwen3-235B-GQA-flash,fp8,1,1,16384,proj_o,0.8708,3.24,1262.699,63.80,0.570425,0.6551,19.55
qwen3-235B-GQA-flash,fp8,1,1,16384,TOTAL,26.9112,100.00,416.870,21.06,1.681916,0.0625,1.87
qwen3-235B-GQA-flash,fp8,1,1,32768,proj_qkv,1.7502,1.69,1413.490,71.42,1.044382,0.5967,17.81
qwen3-235B-GQA-flash,fp8,1,1,32768,attn,100.0854,96.65,354.976,17.94,1.140851,0.0114,0.34
qwen3-235B-GQA-flash,fp8,1,1,32768,proj_o,1.7184,1.66,1279.719,64.66,1.107296,0.6444,19.24
qwen3-235B-GQA-flash,fp8,1,1,32768,TOTAL,103.5540,100.00,388.212,19.62,3.292529,0.0318,0.95
qwen3-235B-GQA-flash,fp8,1,1,65536,proj_qkv,3.4375,0.84,1439.374,72.73,2.051015,0.5967,17.81
qwen3-235B-GQA-flash,fp8,1,1,65536,attn,400.2697,98.32,355.040,17.94,2.281701,0.0057,0.17
