model,dtype,num_gpus,batch,seq_len,stage,time_ms,time_pct,TFLOPS,compute_util_pct,bytes_GB,BW_TBs,bw_util_pct
qwen3-235B-GQA,fp8,1,1,128,proj_qkv,0.0777,23.06,124.447,6.29,0.041681,0.5368,16.02
qwen3-235B-GQA,fp8,1,1,128,attn,0.1866,55.40,2.906,0.15,0.006423,0.0344,1.03
qwen3-235B-GQA,fp8,1,1,128,proj_o,0.0725,21.54,118.437,5.98,0.037749,0.5205,15.54
qwen3-235B-GQA,fp8,1,1,128,TOTAL,0.3368,100.00,55.815,2.82,0.085852,0.2549,7.61
qwen3-235B-GQA,fp8,1,1,256,proj_qkv,0.0739,22.06,261.633,13.22,0.045613,0.6175,18.43
qwen3-235B-GQA,fp8,1,1,256,attn,0.1856,55.42,11.686,0.59,0.021234,0.1144,3.42
qwen3-235B-GQA,fp8,1,1,256,proj_o,0.0754,22.51,227.922,11.52,0.041943,0.5565,16.61
qwen3-235B-GQA,fp8,1,1,256,TOTAL,0.3348,100.00,115.514,5.84,0.108790,0.3249,9.70
qwen3-235B-GQA,fp8,1,1,512,proj_qkv,0.0691,17.16,559.489,28.27,0.053477,0.7740,23.11
qwen3-235B-GQA,fp8,1,1,512,attn,0.2909,72.25,29.813,1.51,0.076022,0.2613,7.80
qwen3-235B-GQA,fp8,1,1,512,proj_o,0.0426,10.59,805.846,40.72,0.050332,1.1804,35.24
qwen3-235B-GQA,fp8,1,1,512,TOTAL,0.4027,100.00,202.867,10.25,0.179831,0.4466,13.33
qwen3-235B-GQA,fp8,1,1,1024,proj_qkv,0.0825,9.88,936.700,47.33,0.069206,0.8385,25.03
qwen3-235B-GQA,fp8,1,1,1024,attn,0.6944,83.11,49.963,2.52,0.286261,0.4122,12.31
qwen3-235B-GQA,fp8,1,1,1024,proj_o,0.0586,7.02,1172.335,59.24,0.067109,1.1449,34.17
qwen3-235B-GQA,fp8,1,1,1024,TOTAL,0.8356,100.00,216.287,10.93,0.422576,0.5057,15.10
qwen3-235B-GQA,fp8,1,1,2048,proj_qkv,0.1362,3.64,1134.922,57.35,0.100663,0.7389,22.06
qwen3-235B-GQA,fp8,1,1,2048,attn,3.4947,93.36,39.712,2.01,1.109393,0.3175,9.48
qwen3-235B-GQA,fp8,1,1,2048,proj_o,0.1122,3.00,1224.894,61.89,0.100663,0.8971,26.78
qwen3-235B-GQA,fp8,1,1,2048,TOTAL,3.7431,100.00,115.102,5.82,1.310720,0.3502,10.45
qwen3-235B-GQA,fp8,1,1,4096,proj_qkv,0.2382,2.03,1297.991,65.59,0.163578,0.6866,20.50
qwen3-235B-GQA,fp8,1,1,4096,attn,11.2563,96.15,49.317,2.49,4.366270,0.3879,11.58
qwen3-235B-GQA,fp8,1,1,4096,proj_o,0.2128,1.82,1291.817,65.28,0.167772,0.7885,23.54
qwen3-235B-GQA,fp8,1,1,4096,TOTAL,11.7073,100.00,97.310,4.92,4.697620,0.4013,11.98
qwen3-235B-GQA,fp8,1,2,128,proj_qkv,0.0741,21.91,260.822,13.18,0.045613,0.6155,18.37
qwen3-235B-GQA,fp8,1,2,128,attn,0.1888,55.82,5.743,0.29,0.012845,0.0680,2.03
qwen3-235B-GQA,fp8,1,2,128,proj_o,0.0754,22.28,228.000,11.52,0.041943,0.5566,16.62
qwen3-235B-GQA,fp8,1,2,128,TOTAL,0.3383,100.00,111.134,5.62,0.100401,0.2968,8.86
qwen3-235B-GQA,fp8,1,2,256,proj_qkv,0.0797,21.48,485.187,24.52,0.053477,0.6712,20.04
qwen3-235B-GQA,fp8,1,2,256,attn,0.2162,58.28,20.059,1.01,0.042467,0.1964,5.86
qwen3-235B-GQA,fp8,1,2,256,proj_o,0.0751,20.24,457.495,23.12,0.050332,0.6702,20.00
qwen3-235B-GQA,fp8,1,2,256,TOTAL,0.3710,100.00,208.506,10.54,0.146276,0.3943,11.77
qwen3-235B-GQA,fp8,1,2,512,proj_qkv,0.0828,14.65,933.797,47.19,0.069206,0.8359,24.95
qwen3-235B-GQA,fp8,1,2,512,attn,0.4232,74.91,40.991,2.07,0.152044,0.3593,10.72
qwen3-235B-GQA,fp8,1,2,512,proj_o,0.0589,10.43,1165.995,58.92,0.067109,1.1387,33.99
qwen3-235B-GQA,fp8,1,2,512,TOTAL,0.5649,100.00,289.197,14.61,0.288358,0.5104,15.24
qwen3-235B-GQA,fp8,1,2,1024,proj_qkv,0.1369,8.23,1129.763,57.09,0.100663,0.7355,21.96
qwen3-235B-GQA,fp8,1,2,1024,attn,1.4139,85.01,49.078,2.48,0.572522,0.4049,12.09
qwen3-235B-GQA,fp8,1,2,1024,proj_o,0.1125,6.76,1221.973,61.75,0.100663,0.8950,26.72
qwen3-235B-GQA,fp8,1,2,1024,TOTAL,1.6632,100.00,217.320,10.98,0.773849,0.4653,13.89
qwen3-235B-GQA,fp8,1,2,2048,proj_qkv,0.2367,3.10,1306.206,66.00,0.163578,0.6909,20.63
qwen3-235B-GQA,fp8,1,2,2048,attn,7.1885,94.12,38.612,1.95,2.218787,0.3087,9.21
qwen3-235B-GQA,fp8,1,2,2048,proj_o,0.2124,2.78,1294.027,65.39,0.167772,0.7898,23.58
qwen3-235B-GQA,fp8,1,2,2048,TOTAL,7.6376,100.00,112.820,5.70,2.550137,0.3339,9.97
qwen3-235B-GQA,fp8,1,2,4096,proj_qkv,0.4339,1.85,1425.250,72.02,0.289407,0.6669,19.91
qwen3-235B-GQA,fp8,1,2,4096,attn,22.5651,96.42,49.202,2.49,8.732541,0.3870,11.55
qwen3-235B-GQA,fp8,1,2,4096,proj_o,0.4045,1.73,1359.264,68.68,0.301990,0.7467,22.29
qwen3-235B-GQA,fp8,1,2,4096,TOTAL,23.4035,100.00,97.356,4.92,9.323938,0.3984,11.89
qwen3-235B-GQA,fp8,1,4,128,proj_qkv,0.0791,23.18,488.696,24.69,0.053477,0.6761,20.18
qwen3-235B-GQA,fp8,1,4,128,attn,0.1852,54.28,11.707,0.59,0.025690,0.1387,4.14
qwen3-235B-GQA,fp8,1,4,128,proj_o,0.0769,22.54,446.711,22.57,0.050332,0.6544,19.53
qwen3-235B-GQA,fp8,1,4,128,TOTAL,0.3412,100.00,220.318,11.13,0.129499,0.3795,11.33
qwen3-235B-GQA,fp8,1,4,256,proj_qkv,0.0829,20.61,932.773,47.13,0.069206,0.8350,24.93
qwen3-235B-GQA,fp8,1,4,256,attn,0.2607,64.83,33.270,1.68,0.084935,0.3258,9.72
qwen3-235B-GQA,fp8,1,4,256,proj_o,0.0586,14.56,1173.655,59.31,0.067109,1.1461,34.21
qwen3-235B-GQA,fp8,1,4,256,TOTAL,0.4021,100.00,384.697,19.44,0.221250,0.5502,16.42
qwen3-235B-GQA,fp8,1,4,512,proj_qkv,0.1366,13.13,1131.567,57.18,0.100663,0.7367,21.99
qwen3-235B-GQA,fp8,1,4,512,attn,0.7915,76.07,43.835,2.22,0.304087,0.3842,11.47
qwen3-235B-GQA,fp8,1,4,512,proj_o,0.1123,10.80,1223.561,61.83,0.100663,0.8962,26.75
qwen3-235B-GQA,fp8,1,4,512,TOTAL,1.0405,100.00,314.046,15.87,0.505414,0.4858,14.50
qwen3-235B-GQA,fp8,1,4,1024,proj_qkv,0.2356,7.34,1312.443,66.32,0.163578,0.6942,20.72
qwen3-235B-GQA,fp8,1,4,1024,attn,2.7602,86.03,50.279,2.54,1.145045,0.4148,12.38
qwen3-235B-GQA,fp8,1,4,1024,proj_o,0.2125,6.62,1293.610,65.37,0.167772,0.7896,23.57
qwen3-235B-GQA,fp8,1,4,1024,TOTAL,3.2083,100.00,225.319,11.39,1.476395,0.4602,13.74
qwen3-235B-GQA,fp8,1,4,2048,proj_qkv,0.4357,2.88,1419.357,71.72,0.289407,0.6642,19.83
qwen3-235B-GQA,fp8,1,4,2048,attn,14.3031,94.45,38.812,1.96,4.437574,0.3103,9.26
qwen3-235B-GQA,fp8,1,4,2048,proj_o,0.4043,2.67,1359.808,68.71,0.301990,0.7470,22.30
qwen3-235B-GQA,fp8,1,4,2048,TOTAL,15.1431,100.00,113.805,5.75,5.028970,0.3321,9.91
qwen3-235B-GQA,fp8,1,4,4096,proj_qkv,0.8546,1.83,1447.389,73.14,0.541065,0.6331,18.90
qwen3-235B-GQA,fp8,1,4,4096,attn,45.0758,96.47,49.261,2.49,17.465082,0.3875,11.57
qwen3-235B-GQA,fp8,1,4,4096,proj_o,0.7946,1.70,1383.675,69.92,0.570425,0.7178,21.43
qwen3-235B-GQA,fp8,1,4,4096,TOTAL,46.7250,100.00,97.527,4.93,18.576572,0.3976,11.87
qwen3-235B-GQA,fp8,1,8,128,proj_qkv,0.0991,26.04,780.134,39.42,0.069206,0.6984,20.85
qwen3-235B-GQA,fp8,1,8,128,attn,0.2042,53.65,21.241,1.07,0.051380,0.2516,7.51
qwen3-235B-GQA,fp8,1,8,128,proj_o,0.0773,20.31,889.168,44.93,0.067109,0.8683,25.92
qwen3-235B-GQA,fp8,1,8,128,TOTAL,0.3806,100.00,395.119,19.97,0.187695,0.4932,14.72
qwen3-235B-GQA,fp8,1,8,256,proj_qkv,0.1363,18.65,1134.091,57.31,0.100663,0.7383,22.04
qwen3-235B-GQA,fp8,1,8,256,attn,0.4822,65.94,35.979,1.82,0.169869,0.3523,10.52
qwen3-235B-GQA,fp8,1,8,256,proj_o,0.1127,15.41,1219.822,61.64,0.100663,0.8934,26.67
qwen3-235B-GQA,fp8,1,8,256,TOTAL,0.7312,100.00,423.168,21.38,0.371196,0.5077,15.15
qwen3-235B-GQA,fp8,1,8,512,proj_qkv,0.2357,11.95,1312.162,66.30,0.163578,0.6941,20.72
qwen3-235B-GQA,fp8,1,8,512,attn,1.5241,77.26,45.528,2.30,0.608174,0.3990,11.91
qwen3-235B-GQA,fp8,1,8,512,proj_o,0.2130,10.80,1290.640,65.22,0.167772,0.7877,23.51
qwen3-235B-GQA,fp8,1,8,512,TOTAL,1.9728,100.00,331.263,16.74,0.939524,0.4762,14.22
qwen3-235B-GQA,fp8,1,8,1024,proj_qkv,0.4387,6.97,1409.638,71.23,0.289407,0.6596,19.69
qwen3-235B-GQA,fp8,1,8,1024,attn,5.4498,86.59,50.931,2.57,2.290090,0.4202,12.54
qwen3-235B-GQA,fp8,1,8,1024,proj_o,0.4056,6.44,1355.480,68.49,0.301990,0.7446,22.23
qwen3-235B-GQA,fp8,1,8,1024,TOTAL,6.2941,100.00,229.707,11.61,2.881487,0.4578,13.67
qwen3-235B-GQA,fp8,1,8,2048,proj_qkv,0.8540,2.83,1448.496,73.19,0.541065,0.6336,18.91
qwen3-235B-GQA,fp8,1,8,2048,attn,28.5657,94.54,38.866,1.96,8.875147,0.3107,9.27
qwen3-235B-GQA,fp8,1,8,2048,proj_o,0.7955,2.63,1382.234,69.85,0.570425,0.7171,21.41
qwen3-235B-GQA,fp8,1,8,2048,TOTAL,30.2151,100.00,114.072,5.76,9.986638,0.3305,9.87
qwen3-235B-GQA,fp8,1,8,4096,proj_qkv,1.6907,1.81,1463.205,73.94,1.044382,0.6177,18.44
qwen3-235B-GQA,fp8,1,8,4096,attn,90.1757,96.51,49.248,2.49,34.930164,0.3874,11.56
qwen3-235B-GQA,fp8,1,8,4096,proj_o,1.5667,1.68,1403.562,70.92,1.107296,0.7067,21.10
qwen3-235B-GQA,fp8,1,8,4096,TOTAL,93.4332,100.00,97.545,4.93,37.081842,0.3969,11.85
qwen3-235B-GQA,fp8,1,16,128,proj_qkv,0.1363,23.55,1134.810,57.34,0.100663,0.7388,22.05
qwen3-235B-GQA,fp8,1,16,128,attn,0.3294,56.94,26.328,1.33,0.102760,0.3119,9.31
qwen3-235B-GQA,fp8,1,16,128,proj_o,0.1129,19.51,1217.367,61.51,0.100663,0.8916,26.62
qwen3-235B-GQA,fp8,1,16,128,TOTAL,0.5786,100.00,519.758,26.26,0.304087,0.5256,15.69
qwen3-235B-GQA,fp8,1,16,256,proj_qkv,0.2358,17.34,1311.300,66.26,0.163578,0.6936,20.71
qwen3-235B-GQA,fp8,1,16,256,attn,0.9115,67.01,38.063,1.92,0.339739,0.3727,11.13
qwen3-235B-GQA,fp8,1,16,256,proj_o,0.2129,15.65,1291.250,65.25,0.167772,0.7881,23.53
qwen3-235B-GQA,fp8,1,16,256,TOTAL,1.3602,100.00,454.935,22.99,0.671089,0.4934,14.73
qwen3-235B-GQA,fp8,1,16,512,proj_qkv,0.4358,11.39,1419.213,71.71,0.289407,0.6641,19.82
qwen3-235B-GQA,fp8,1,16,512,attn,2.9844,78.01,46.502,2.35,1.216348,0.4076,12.17
qwen3-235B-GQA,fp8,1,16,512,proj_o,0.4053,10.60,1356.336,68.54,0.301990,0.7451,22.24
qwen3-235B-GQA,fp8,1,16,512,TOTAL,3.8255,100.00,341.656,17.26,1.807745,0.4725,14.11
qwen3-235B-GQA,fp8,1,16,1024,proj_qkv,0.8579,6.87,1441.763,72.85,0.541065,0.6307,18.83
qwen3-235B-GQA,fp8,1,16,1024,attn,10.8313,86.74,51.252,2.59,4.580180,0.4229,12.62
qwen3-235B-GQA,fp8,1,16,1024,proj_o,0.7977,6.39,1378.426,69.65,0.570425,0.7151,21.35
qwen3-235B-GQA,fp8,1,16,1024,TOTAL,12.4869,100.00,231.570,11.70,5.691671,0.4558,13.61
qwen3-235B-GQA,fp8,1,16,2048,proj_qkv,1.6921,2.80,1462.056,73.88,1.044382,0.6172,18.42
qwen3-235B-GQA,fp8,1,16,2048,attn,57.0834,94.60,38.899,1.97,17.750295,0.3110,9.28
qwen3-235B-GQA,fp8,1,16,2048,proj_o,1.5672,2.60,1403.166,70.90,1.107296,0.7066,21.09
qwen3-235B-GQA,fp8,1,16,2048,TOTAL,60.3427,100.00,114.238,5.77,19.901972,0.3298,9.85
qwen3-235B-GQA,fp8,1,32,128,proj_qkv,0.2357,22.27,1312.008,66.30,0.163578,0.6940,20.72
