model,dtype,num_gpus,batch,seq_len,stage,time_ms,time_pct,TFLOPS,compute_util_pct,bytes_GB,BW_TBs,bw_util_pct
qwen3-235B-GQA-longseq,fp8,1,1,512,proj_qkv,0.0620,15.85,623.946,31.53,0.053477,0.8632,25.77
qwen3-235B-GQA-longseq,fp8,1,1,512,attn,0.2866,73.33,30.260,1.53,0.076022,0.2652,7.92
qwen3-235B-GQA-longseq,fp8,1,1,512,proj_o,0.0423,10.82,812.179,41.04,0.050332,1.1897,35.51
qwen3-235B-GQA-longseq,fp8,1,1,512,TOTAL,0.3909,100.00,208.977,10.56,0.179831,0.4600,13.73
qwen3-235B-GQA-longseq,fp8,1,1,1024,proj_qkv,0.0838,9.96,922.564,46.62,0.069206,0.8259,24.65
qwen3-235B-GQA-longseq,fp8,1,1,1024,attn,0.6989,83.04,49.642,2.51,0.286261,0.4096,12.23
qwen3-235B-GQA-longseq,fp8,1,1,1024,proj_o,0.0589,7.00,1165.749,58.91,0.067109,1.1384,33.98
qwen3-235B-GQA-longseq,fp8,1,1,1024,TOTAL,0.8417,100.00,214.724,10.85,0.422576,0.5021,14.99
qwen3-235B-GQA-longseq,fp8,1,1,2048,proj_qkv,0.1386,3.68,1115.692,56.38,0.100663,0.7264,21.68
qwen3-235B-GQA-longseq,fp8,1,1,2048,attn,3.5097,93.31,39.542,2.00,1.109393,0.3161,9.44
qwen3-235B-GQA-longseq,fp8,1,1,2048,proj_o,0.1129,3.00,1217.429,61.52,0.100663,0.8917,26.62
qwen3-235B-GQA-longseq,fp8,1,1,2048,TOTAL,3.7612,100.00,114.548,5.79,1.310720,0.3485,10.40
qwen3-235B-GQA-longseq,fp8,1,1,4096,proj_qkv,0.2412,2.06,1281.901,64.78,0.163578,0.6781,20.24
qwen3-235B-GQA-longseq,fp8,1,1,4096,attn,11.2560,96.12,49.318,2.49,4.366270,0.3879,11.58
qwen3-235B-GQA-longseq,fp8,1,1,4096,proj_o,0.2133,1.82,1288.890,65.13,0.167772,0.7867,23.48
qwen3-235B-GQA-longseq,fp8,1,1,4096,TOTAL,11.7105,100.00,97.283,4.92,4.697620,0.4011,11.97
qwen3-235B-GQA-longseq,fp8,1,1,6144,proj_qkv,0.3524,1.44,1316.386,66.52,0.226492,0.6428,19.19
qwen3-235B-GQA-longseq,fp8,1,1,6144,attn,23.8359,97.29,52.401,2.65,9.770631,0.4099,12.24
qwen3-235B-GQA-longseq,fp8,1,1,6144,proj_o,0.3112,1.27,1324.817,66.94,0.234881,0.7547,22.53
qwen3-235B-GQA-longseq,fp8,1,1,6144,TOTAL,24.4995,100.00,86.745,4.38,10.232005,0.4176,12.47
qwen3-235B-GQA-longseq,fp8,1,1,8192,proj_qkv,0.4448,1.10,1390.302,70.25,0.289407,0.6506,19.42
qwen3-235B-GQA-longseq,fp8,1,1,8192,attn,39.7459,97.90,55.867,2.82,17.322476,0.4358,13.01
qwen3-235B-GQA-longseq,fp8,1,1,8192,proj_o,0.4060,1.00,1354.041,68.42,0.301990,0.7438,22.20
qwen3-235B-GQA-longseq,fp8,1,1,8192,TOTAL,40.5968,100.00,83.473,4.22,17.913872,0.4413,13.17
qwen3-235B-GQA-longseq,fp8,1,1,10240,proj_qkv,0.5567,0.88,1388.635,70.17,0.352322,0.6328,18.89
qwen3-235B-GQA-longseq,fp8,1,1,10240,attn,62.0581,98.32,55.908,2.83,27.021804,0.4354,13.00
qwen3-235B-GQA-longseq,fp8,1,1,10240,proj_o,0.5038,0.80,1364.127,68.93,0.369099,0.7327,21.87
qwen3-235B-GQA-longseq,fp8,1,1,10240,TOTAL,63.1186,100.00,78.104,3.95,27.743224,0.4395,13.12
qwen3-235B-GQA-longseq,fp8,1,1,12288,proj_qkv,0.6680,0.75,1388.892,70.18,0.415236,0.6217,18.56
qwen3-235B-GQA-longseq,fp8,1,1,12288,attn,87.3748,98.57,57.180,2.89,38.868615,0.4448,13.28
qwen3-235B-GQA-longseq,fp8,1,1,12288,proj_o,0.6014,0.68,1371.223,69.29,0.436208,0.7253,21.65
qwen3-235B-GQA-longseq,fp8,1,1,12288,TOTAL,88.6441,100.00,76.130,3.85,39.720059,0.4481,13.38
qwen3-235B-GQA-longseq,fp8,1,1,14336,proj_qkv,0.7657,0.64,1413.459,71.42,0.478151,0.6244,18.64
qwen3-235B-GQA-longseq,fp8,1,1,14336,attn,117.9431,98.77,57.657,2.91,52.862910,0.4482,13.38
qwen3-235B-GQA-longseq,fp8,1,1,14336,proj_o,0.6997,0.59,1375.053,69.48,0.503316,0.7194,21.47
qwen3-235B-GQA-longseq,fp8,1,1,14336,TOTAL,119.4084,100.00,74.071,3.74,53.844378,0.4509,13.46
