model,dtype,num_gpus,batch,in_dim,out_dim,avg_ms,TFLOPS,compute_util_pct,bytes_GB,BW_TBs,bw_util_pct,arith_intensity,roofline_bound,ideal_ms,overhead_x
Qwen3-235B (4096x1536),fp16,2,2,4096,1536,0.0602,0.418,0.02,0.012605,0.2094,3.12,2.00,memory,0.0019,32.00
Qwen3-235B (4096x1536),fp16,2,4,4096,1536,0.0594,0.847,0.04,0.012628,0.2125,3.17,3.99,memory,0.0019,31.53
Qwen3-235B (4096x1536),fp16,2,8,4096,1536,0.0591,1.703,0.09,0.012673,0.2144,3.20,7.94,memory,0.0019,31.26
Qwen3-235B (4096x1536),fp16,2,16,4096,1536,0.0582,3.459,0.17,0.012763,0.2193,3.27,15.77,memory,0.0019,30.55
Qwen3-235B (4096x1536),fp16,2,32,4096,1536,0.0573,7.025,0.36,0.012943,0.2258,3.37,31.11,memory,0.0019,29.67
Qwen3-235B (4096x1536),fp16,2,64,4096,1536,0.0572,14.069,0.71,0.013304,0.2324,3.47,60.53,memory,0.0020,28.83
Qwen3-235B (4096x1536),fp16,2,128,4096,1536,0.0583,27.618,1.40,0.014025,0.2405,3.59,114.84,memory,0.0021,27.86
Qwen3-235B (4096x1536),fp16,2,256,4096,1536,0.0573,56.225,2.84,0.015466,0.2700,4.03,208.27,memory,0.0023,24.82
Qwen3-235B (4096x1536),fp16,2,512,4096,1536,0.0669,96.238,4.87,0.018350,0.2741,4.09,351.09,compute,0.0033,20.55
Qwen3-235B (4096x1536),fp16,2,1024,4096,1536,0.0646,199.304,10.08,0.024117,0.3730,5.57,534.26,compute,0.0065,9.92
Qwen3-235B (4096x1536),fp16,2,2048,4096,1536,0.0653,394.908,19.97,0.035652,0.5463,8.15,722.82,compute,0.0130,5.01
Qwen3-235B (4096x1536),fp16,2,4096,4096,1536,0.0661,779.563,39.41,0.058720,0.8882,13.26,877.71,compute,0.0261,2.54
Qwen3-235B (4096x1536),fp16,2,8192,4096,1536,0.0824,1251.507,63.27,0.104858,1.2731,19.00,983.04,compute,0.0521,1.58
Qwen3-235B (4096x1536),fp16,2,16384,4096,1536,0.1481,1392.238,70.39,0.197132,1.3313,19.87,1045.79,compute,0.1042,1.42
Qwen3-235B (4096x1536),fp16,2,32768,4096,1536,0.3042,1355.475,68.53,0.381682,1.2548,18.73,1080.26,compute,0.2085,1.46
Qwen3-235B (4096x1536),fp16,2,65536,4096,1536,0.5942,1387.864,70.16,0.750780,1.2636,18.86,1098.37,compute,0.4169,1.43
Qwen3-235B (4096x1536),fp16,2,131072,4096,1536,1.1903,1385.612,70.05,1.488978,1.2509,18.67,1107.65,compute,0.8338,1.43
Qwen3-235B (4096x1536),fp16,2,262144,4096,1536,2.1935,1503.811,76.03,2.965373,1.3519,20.18,1112.35,compute,1.6676,1.32
Qwen3-235B (4096x1536),fp16,2,524288,4096,1536,4.3544,1515.042,76.59,5.918163,1.3591,20.29,1114.72,compute,3.3352,1.31
Qwen3-235B (4096x1536),fp16,2,1048576,4096,1536,8.9101,1480.810,74.86,11.823743,1.3270,19.81,1115.90,compute,6.6704,1.34
