model,dtype,num_gpus,batch,in_dim,out_dim,avg_ms,TFLOPS,compute_util_pct,bytes_GB,BW_TBs,bw_util_pct,arith_intensity,roofline_bound,ideal_ms,overhead_x
Qwen3-235B (4096x1536),fp8,2,2,4096,1536,0.0742,0.339,0.01,0.006306,0.0850,1.27,3.99,memory,0.0009,78.81
Qwen3-235B (4096x1536),fp8,2,4,4096,1536,0.0781,0.645,0.02,0.006320,0.0810,1.21,7.96,memory,0.0009,82.75
Qwen3-235B (4096x1536),fp8,2,8,4096,1536,0.0781,1.288,0.03,0.006349,0.0813,1.21,15.86,memory,0.0009,82.46
Qwen3-235B (4096x1536),fp8,2,16,4096,1536,0.0780,2.580,0.07,0.006406,0.0821,1.23,31.43,memory,0.0010,81.62
Qwen3-235B (4096x1536),fp8,2,32,4096,1536,0.0782,5.148,0.13,0.006521,0.0834,1.24,61.75,memory,0.0010,80.36
Qwen3-235B (4096x1536),fp8,2,64,4096,1536,0.0786,10.250,0.26,0.006750,0.0859,1.28,119.30,memory,0.0010,77.98
Qwen3-235B (4096x1536),fp8,2,128,4096,1536,0.0788,20.436,0.52,0.007209,0.0915,1.37,223.42,memory,0.0011,73.25
Qwen3-235B (4096x1536),fp8,2,256,4096,1536,0.0787,40.932,1.03,0.008126,0.1033,1.54,396.39,memory,0.0012,64.88
Qwen3-235B (4096x1536),fp8,2,512,4096,1536,0.0765,84.190,2.13,0.009961,0.1302,1.94,646.74,compute,0.0016,47.01
Qwen3-235B (4096x1536),fp8,2,1024,4096,1536,0.0738,174.479,4.41,0.013631,0.1846,2.76,945.23,compute,0.0033,22.68
Qwen3-235B (4096x1536),fp8,2,2048,4096,1536,0.0723,356.650,9.01,0.020972,0.2902,4.33,1228.80,compute,0.0065,11.10
Qwen3-235B (4096x1536),fp8,2,3072,4096,1536,0.0763,506.687,12.80,0.028312,0.3711,5.54,1365.33,compute,0.0098,7.81
Qwen3-235B (4096x1536),fp8,2,4096,4096,1536,0.0765,673.352,17.01,0.035652,0.4658,6.95,1445.65,compute,0.0130,5.88
Qwen3-235B (4096x1536),fp8,2,5120,4096,1536,0.0749,859.630,21.72,0.042992,0.5736,8.56,1498.54,compute,0.0163,4.60
Qwen3-235B (4096x1536),fp8,2,6144,4096,1536,0.0860,898.773,22.71,0.050332,0.5851,8.73,1536.00,compute,0.0195,4.40
Qwen3-235B (4096x1536),fp8,2,7168,4096,1536,0.0851,1059.374,26.77,0.057672,0.6774,10.11,1563.93,compute,0.0228,3.74
Qwen3-235B (4096x1536),fp8,2,8192,4096,1536,0.0885,1164.348,29.42,0.065012,0.7344,10.96,1585.55,compute,0.0260,3.40
