model,dtype,num_gpus,batch,seq_len,stage,time_ms,time_pct,TFLOPS,compute_util_pct,bytes_GB,BW_TBs,bw_util_pct,arith_intensity,roofline_bound,ideal_ms,overhead_x
qwen3-235B-GQA-decode,fp16,2,1,1024,proj_qkv,0.0633,32.54,0.596,0.06,0.037783,0.5967,17.81,1.00,memory,0.0113,5.61
qwen3-235B-GQA-decode,fp16,2,1,1024,attn,0.0915,47.01,0.185,0.02,0.001066,0.0117,0.35,15.91,memory,0.0003,287.48
qwen3-235B-GQA-decode,fp16,2,1,1024,proj_o,0.0398,20.45,0.843,0.09,0.033571,0.8438,25.19,1.00,memory,0.0100,3.97
qwen3-235B-GQA-decode,fp16,2,1,1024,TOTAL,0.1946,100.00,0.454,0.05,0.072419,0.3722,11.11,1.22,memory,0.0216,9.00
qwen3-235B-GQA-decode,fp16,2,1,2048,proj_qkv,0.0662,34.79,0.570,0.06,0.037783,0.5708,17.04,1.00,memory,0.0113,5.87
qwen3-235B-GQA-decode,fp16,2,1,2048,attn,0.0833,43.80,0.407,0.04,0.002115,0.0254,0.76,16.03,memory,0.0006,132.04
qwen3-235B-GQA-decode,fp16,2,1,2048,proj_o,0.0407,21.41,0.824,0.08,0.033571,0.8241,24.60,1.00,memory,0.0100,4.07
qwen3-235B-GQA-decode,fp16,2,1,2048,TOTAL,0.1903,100.00,0.553,0.06,0.073468,0.3861,11.53,1.43,memory,0.0219,8.68
qwen3-235B-GQA-decode,fp16,2,1,4096,proj_qkv,0.0652,34.23,0.579,0.06,0.037783,0.5796,17.30,1.00,memory,0.0113,5.78
qwen3-235B-GQA-decode,fp16,2,1,4096,attn,0.0840,44.12,0.807,0.08,0.004212,0.0501,1.50,16.09,memory,0.0013,66.84
qwen3-235B-GQA-decode,fp16,2,1,4096,proj_o,0.0412,21.66,0.813,0.08,0.033571,0.8139,24.30,1.00,memory,0.0100,4.12
qwen3-235B-GQA-decode,fp16,2,1,4096,TOTAL,0.1905,100.00,0.730,0.07,0.075565,0.3967,11.84,1.84,memory,0.0226,8.44
qwen3-235B-GQA-decode,fp16,2,1,8192,proj_qkv,0.0654,33.42,0.577,0.06,0.037783,0.5778,17.25,1.00,memory,0.0113,5.80
qwen3-235B-GQA-decode,fp16,2,1,8192,attn,0.0885,45.21,1.532,0.15,0.008406,0.0950,2.84,16.12,memory,0.0025,35.25
qwen3-235B-GQA-decode,fp16,2,1,8192,proj_o,0.0418,21.38,0.802,0.08,0.033571,0.8024,23.95,1.00,memory,0.0100,4.17
qwen3-235B-GQA-decode,fp16,2,1,8192,TOTAL,0.1957,100.00,1.057,0.11,0.079759,0.4076,12.17,2.59,memory,0.0238,8.22
qwen3-235B-GQA-decode,fp16,2,1,16384,proj_qkv,0.0648,32.99,0.583,0.06,0.037783,0.5831,17.41,1.00,memory,0.0113,5.75
qwen3-235B-GQA-decode,fp16,2,1,16384,attn,0.0940,47.85,2.884,0.29,0.016795,0.1787,5.33,16.14,memory,0.0050,18.75
qwen3-235B-GQA-decode,fp16,2,1,16384,proj_o,0.0376,19.16,0.892,0.09,0.033571,0.8921,26.63,1.00,memory,0.0100,3.76
qwen3-235B-GQA-decode,fp16,2,1,16384,TOTAL,0.1964,100.00,1.743,0.18,0.088148,0.4488,13.40,3.88,memory,0.0263,7.46
qwen3-235B-GQA-decode,fp16,2,1,32768,proj_qkv,0.0636,28.25,0.593,0.06,0.037783,0.5938,17.73,1.00,memory,0.0113,5.64
qwen3-235B-GQA-decode,fp16,2,1,32768,attn,0.1370,60.81,3.958,0.40,0.033572,0.2451,7.32,16.15,memory,0.0100,13.67
qwen3-235B-GQA-decode,fp16,2,1,32768,proj_o,0.0246,10.94,1.361,0.14,0.033571,1.3621,40.66,1.00,memory,0.0100,2.46
qwen3-235B-GQA-decode,fp16,2,1,32768,TOTAL,0.2252,100.00,2.724,0.28,0.104925,0.4659,13.91,5.85,memory,0.0313,7.19
qwen3-235B-GQA-decode,fp16,2,1,65536,proj_qkv,0.0633,21.07,0.597,0.06,0.037783,0.5972,17.83,1.00,memory,0.0113,5.61
qwen3-235B-GQA-decode,fp16,2,1,65536,attn,0.2152,71.66,5.038,0.51,0.067126,0.3119,9.31,16.15,memory,0.0200,10.74
qwen3-235B-GQA-decode,fp16,2,1,65536,proj_o,0.0218,7.28,1.536,0.16,0.033571,1.5364,45.86,1.00,memory,0.0100,2.18
qwen3-235B-GQA-decode,fp16,2,1,65536,TOTAL,0.3003,100.00,3.848,0.39,0.138480,0.4611,13.76,8.34,memory,0.0413,7.27
