model,dtype,num_gpus,batch,seq_len,stage,time_ms,time_pct,TFLOPS,compute_util_pct,bytes_GB,BW_TBs,bw_util_pct
qwen3-235B-GQA-flash,fp16,1,1,1024,proj_qkv,0.1417,39.88,545.445,55.15,0.119538,0.8434,25.18
qwen3-235B-GQA-flash,fp16,1,1,1024,attn,0.1160,32.64,299.015,30.23,0.035652,0.3073,9.17
qwen3-235B-GQA-flash,fp16,1,1,1024,proj_o,0.0977,27.48,703.493,71.13,0.092275,0.9446,28.20
qwen3-235B-GQA-flash,fp16,1,1,1024,TOTAL,0.3555,100.00,508.435,51.41,0.247464,0.6962,20.78
qwen3-235B-GQA-flash,fp16,1,1,2048,proj_qkv,0.2360,27.05,655.093,66.24,0.163578,0.6931,20.69
qwen3-235B-GQA-flash,fp16,1,1,2048,attn,0.4451,51.02,311.811,31.53,0.071303,0.1602,4.78
qwen3-235B-GQA-flash,fp16,1,1,2048,proj_o,0.1913,21.93,718.294,72.63,0.117441,0.6138,18.32
qwen3-235B-GQA-flash,fp16,1,1,2048,TOTAL,0.8724,100.00,493.828,49.93,0.352322,0.4038,12.05
qwen3-235B-GQA-flash,fp16,1,1,4096,proj_qkv,0.4551,17.44,679.566,68.71,0.251658,0.5530,16.51
qwen3-235B-GQA-flash,fp16,1,1,4096,attn,1.7774,68.12,312.331,31.58,0.142606,0.0802,2.40
qwen3-235B-GQA-flash,fp16,1,1,4096,proj_o,0.3766,14.43,729.960,73.81,0.167772,0.4455,13.30
qwen3-235B-GQA-flash,fp16,1,1,4096,TOTAL,2.6090,100.00,436.662,44.15,0.562037,0.2154,6.43
qwen3-235B-GQA-flash,fp16,1,1,8192,proj_qkv,0.8679,10.37,712.620,72.05,0.427819,0.4929,14.71
qwen3-235B-GQA-flash,fp16,1,1,8192,attn,6.7617,80.79,328.393,33.20,0.285213,0.0422,1.26
qwen3-235B-GQA-flash,fp16,1,1,8192,proj_o,0.7402,8.84,742.681,75.09,0.268435,0.3626,10.82
qwen3-235B-GQA-flash,fp16,1,1,8192,TOTAL,8.3698,100.00,404.874,40.94,0.981467,0.1173,3.50
qwen3-235B-GQA-flash,fp16,1,1,16384,proj_qkv,1.7275,5.90,716.040,72.40,0.780141,0.4516,13.48
qwen3-235B-GQA-flash,fp16,1,1,16384,attn,26.0907,89.08,340.428,34.42,0.570425,0.0219,0.65
qwen3-235B-GQA-flash,fp16,1,1,16384,proj_o,1.4709,5.02,747.505,75.58,0.469762,0.3194,9.53
qwen3-235B-GQA-flash,fp16,1,1,16384,TOTAL,29.2891,100.00,383.025,38.73,1.820328,0.0622,1.86
qwen3-235B-GQA-flash,fp16,1,1,32768,proj_qkv,3.3440,3.07,739.802,74.80,1.484784,0.4440,13.25
qwen3-235B-GQA-flash,fp16,1,1,32768,attn,102.5310,94.23,346.509,35.04,1.140851,0.0111,0.33
qwen3-235B-GQA-flash,fp16,1,1,32768,proj_o,2.9378,2.70,748.531,75.69,0.872415,0.2970,8.86
qwen3-235B-GQA-flash,fp16,1,1,32768,TOTAL,108.8128,100.00,369.450,37.36,3.498050,0.0321,0.96
qwen3-235B-GQA-flash,fp16,1,1,65536,proj_qkv,6.6342,1.58,745.798,75.41,2.894070,0.4362,13.02
qwen3-235B-GQA-flash,fp16,1,1,65536,attn,406.1563,97.01,349.895,35.38,2.281701,0.0056,0.17
qwen3-235B-GQA-flash,fp16,1,1,65536,proj_o,5.8729,1.40,748.869,75.72,1.677722,0.2857,8.53
qwen3-235B-GQA-flash,fp16,1,1,65536,TOTAL,418.6635,100.00,361.765,36.58,6.853493,0.0164,0.49
qwen3-235B-GQA-flash,fp16,1,1,131072,proj_qkv,14.5699,0.88,679.180,68.67,5.712642,0.3921,11.70
qwen3-235B-GQA-flash,fp16,1,1,131072,attn,1624.6371,98.38,349.892,35.38,4.563403,0.0028,0.08
qwen3-235B-GQA-flash,fp16,1,1,131072,proj_o,12.1286,0.73,725.234,73.33,3.288334,0.2711,8.09
qwen3-235B-GQA-flash,fp16,1,1,131072,TOTAL,1651.3356,100.00,355.554,35.95,13.564379,0.0082,0.25
qwen3-235B-GQA-flash,fp16,1,1,262144,proj_qkv,32.2664,0.47,613.368,62.02,11.349787,0.3518,10.50
qwen3-235B-GQA-flash,fp16,1,1,262144,attn,6879.6740,99.19,330.508,33.42,9.126806,0.0013,0.04
qwen3-235B-GQA-flash,fp16,1,1,262144,proj_o,23.6153,0.34,744.949,75.32,6.509560,0.2757,8.23
qwen3-235B-GQA-flash,fp16,1,1,262144,TOTAL,6935.5558,100.00,333.236,33.69,26.986152,0.0039,0.12
qwen3-235B-GQA-flash,fp16,1,1,524288,proj_qkv,70.4935,0.25,561.504,56.77,22.624076,0.3209,9.58
qwen3-235B-GQA-flash,fp16,1,1,524288,attn,28418.1654,99.58,320.047,32.36,18.253611,0.0006,0.02
qwen3-235B-GQA-flash,fp16,1,1,524288,proj_o,48.8964,0.17,719.570,72.76,12.952011,0.2649,7.91
qwen3-235B-GQA-flash,fp16,1,1,524288,TOTAL,28537.5553,100.00,321.328,32.49,53.829698,0.0019,0.06
