model,dtype,num_gpus,batch,seq_len,stage,time_ms,time_pct,TFLOPS,compute_util_pct,bytes_GB,BW_TBs,bw_util_pct
qwen3-235B-GQA,fp16,1,1,128,proj_qkv,0.0679,21.83,142.361,14.39,0.081002,1.1933,35.62
qwen3-235B-GQA,fp16,1,1,128,attn,0.1737,55.85,3.121,0.32,0.012845,0.0740,2.21
qwen3-235B-GQA,fp16,1,1,128,proj_o,0.0694,22.32,123.771,12.51,0.070255,1.0123,30.22
qwen3-235B-GQA,fp16,1,1,128,TOTAL,0.3110,100.00,60.445,6.11,0.164102,0.5277,15.75
qwen3-235B-GQA,fp16,1,1,256,proj_qkv,0.0755,20.92,256.043,25.89,0.086508,1.1460,34.21
qwen3-235B-GQA,fp16,1,1,256,attn,0.2158,59.81,10.047,1.02,0.042467,0.1968,5.87
qwen3-235B-GQA,fp16,1,1,256,proj_o,0.0695,19.26,247.151,24.99,0.073400,1.0559,31.52
qwen3-235B-GQA,fp16,1,1,256,TOTAL,0.3608,100.00,107.188,10.84,0.202375,0.5609,16.74
qwen3-235B-GQA,fp16,1,1,512,proj_qkv,0.0835,23.34,462.841,46.80,0.097518,1.1676,34.86
qwen3-235B-GQA,fp16,1,1,512,attn,0.2104,58.81,41.217,4.17,0.152044,0.7225,21.57
qwen3-235B-GQA,fp16,1,1,512,proj_o,0.0639,17.85,538.103,54.41,0.079692,1.2480,37.25
qwen3-235B-GQA,fp16,1,1,512,TOTAL,0.3578,100.00,228.300,23.08,0.329253,0.9202,27.47
qwen3-235B-GQA,fp16,1,1,1024,proj_qkv,0.1377,14.94,561.426,56.77,0.119538,0.8681,25.91
qwen3-235B-GQA,fp16,1,1,1024,attn,0.6934,75.25,50.036,5.06,0.572522,0.8257,24.65
qwen3-235B-GQA,fp16,1,1,1024,proj_o,0.0904,9.81,760.489,76.89,0.092275,1.0212,30.48
qwen3-235B-GQA,fp16,1,1,1024,TOTAL,0.9215,100.00,196.126,19.83,0.784335,0.8512,25.41
qwen3-235B-GQA,fp16,1,1,2048,proj_qkv,0.2292,5.89,674.744,68.22,0.163578,0.7138,21.31
qwen3-235B-GQA,fp16,1,1,2048,attn,3.4935,89.76,39.725,4.02,2.218787,0.6351,18.96
qwen3-235B-GQA,fp16,1,1,2048,proj_o,0.1693,4.35,811.722,82.08,0.117441,0.6936,20.70
qwen3-235B-GQA,fp16,1,1,2048,TOTAL,3.8920,100.00,110.698,11.19,2.499805,0.6423,19.17
qwen3-235B-GQA,fp16,1,1,4096,proj_qkv,0.4442,3.69,696.112,70.39,0.251658,0.5665,16.91
qwen3-235B-GQA,fp16,1,1,4096,attn,11.2629,93.58,49.288,4.98,8.732541,0.7753,23.14
qwen3-235B-GQA,fp16,1,1,4096,proj_o,0.3289,2.73,835.720,84.50,0.167772,0.5101,15.23
qwen3-235B-GQA,fp16,1,1,4096,TOTAL,12.0360,100.00,94.652,9.57,9.151971,0.7604,22.70
qwen3-235B-GQA,fp16,1,2,128,proj_qkv,0.0762,24.12,253.590,25.64,0.086508,1.1350,33.88
qwen3-235B-GQA,fp16,1,2,128,attn,0.1700,53.82,6.376,0.64,0.025690,0.1511,4.51
qwen3-235B-GQA,fp16,1,2,128,proj_o,0.0697,22.06,246.479,24.92,0.073400,1.0531,31.43
qwen3-235B-GQA,fp16,1,2,128,TOTAL,0.3160,100.00,118.974,12.03,0.185598,0.5874,17.53
qwen3-235B-GQA,fp16,1,2,256,proj_qkv,0.0887,23.76,435.935,44.08,0.097518,1.0998,32.83
qwen3-235B-GQA,fp16,1,2,256,attn,0.1969,52.75,22.027,2.23,0.084935,0.4314,12.88
qwen3-235B-GQA,fp16,1,2,256,proj_o,0.0877,23.49,391.837,39.62,0.079692,0.9088,27.13
qwen3-235B-GQA,fp16,1,2,256,TOTAL,0.3732,100.00,207.238,20.95,0.262144,0.7023,20.97
qwen3-235B-GQA,fp16,1,2,512,proj_qkv,0.1379,21.19,560.601,56.68,0.119538,0.8668,25.88
qwen3-235B-GQA,fp16,1,2,512,attn,0.4218,64.82,41.124,4.16,0.304087,0.7209,21.52
qwen3-235B-GQA,fp16,1,2,512,proj_o,0.0911,13.99,754.599,76.30,0.092275,1.0133,30.25
