model,dtype,num_gpus,batch,in_dim,out_dim,avg_ms,TFLOPS,compute_util_pct,bytes_GB,BW_TBs,bw_util_pct,arith_intensity,roofline_bound,ideal_ms,overhead_x
Qwen3-235B (4096x1536),fp8,2,2,4096,1536,0.1049,0.240,0.01,0.006306,0.0601,0.90,3.99,memory,0.0009,111.51
Qwen3-235B (4096x1536),fp8,2,4,4096,1536,0.1186,0.424,0.01,0.006320,0.0533,0.80,7.96,memory,0.0009,125.75
Qwen3-235B (4096x1536),fp8,2,8,4096,1536,0.1061,0.949,0.02,0.006349,0.0598,0.89,15.86,memory,0.0009,111.99
Qwen3-235B (4096x1536),fp8,2,16,4096,1536,0.1057,1.905,0.05,0.006406,0.0606,0.90,31.43,memory,0.0010,110.52
Qwen3-235B (4096x1536),fp8,2,32,4096,1536,0.0894,4.506,0.11,0.006521,0.0730,1.09,61.75,memory,0.0010,91.82
Qwen3-235B (4096x1536),fp8,2,64,4096,1536,0.0891,9.037,0.23,0.006750,0.0758,1.13,119.30,memory,0.0010,88.45
Qwen3-235B (4096x1536),fp8,2,128,4096,1536,0.1403,11.477,0.29,0.007209,0.0514,0.77,223.42,memory,0.0011,130.43
Qwen3-235B (4096x1536),fp8,2,256,4096,1536,0.1423,22.639,0.57,0.008126,0.0571,0.85,396.39,memory,0.0012,117.31
Qwen3-235B (4096x1536),fp8,2,512,4096,1536,0.0939,68.600,1.73,0.009961,0.1061,1.58,646.74,compute,0.0016,57.70
Qwen3-235B (4096x1536),fp8,2,1024,4096,1536,0.0951,135.555,3.42,0.013631,0.1434,2.14,945.23,compute,0.0033,29.20
Qwen3-235B (4096x1536),fp8,2,2048,4096,1536,0.1140,226.046,5.71,0.020972,0.1840,2.75,1228.80,compute,0.0065,17.51
Qwen3-235B (4096x1536),fp8,2,4096,4096,1536,0.0991,519.996,13.14,0.035652,0.3597,5.37,1445.65,compute,0.0130,7.61
Qwen3-235B (4096x1536),fp8,2,8192,4096,1536,0.2162,476.771,12.05,0.065012,0.3007,4.49,1585.55,compute,0.0260,8.30
Qwen3-235B (4096x1536),fp8,2,16384,4096,1536,0.2099,982.380,24.82,0.123732,0.5896,8.80,1666.17,compute,0.0521,4.03
Qwen3-235B (4096x1536),fp8,2,32768,4096,1536,0.5933,694.950,17.56,0.241172,0.4065,6.07,1709.63,compute,0.1042,5.70
Qwen3-235B (4096x1536),fp8,2,65536,4096,1536,0.9141,902.130,22.79,0.476054,0.5208,7.77,1732.23,compute,0.2083,4.39
Qwen3-235B (4096x1536),fp8,2,131072,4096,1536,1.9272,855.770,21.62,0.945816,0.4908,7.32,1743.75,compute,0.4167,4.63
Qwen3-235B (4096x1536),fp8,2,262144,4096,1536,3.5429,931.033,23.52,1.885340,0.5321,7.94,1749.57,compute,0.8334,4.25
Qwen3-235B (4096x1536),fp8,2,524288,4096,1536,7.0866,930.920,23.52,3.764388,0.5312,7.93,1752.49,compute,1.6668,4.25
Qwen3-235B (4096x1536),fp8,2,1048576,4096,1536,13.2139,998.503,25.23,7.522484,0.5693,8.50,1753.96,compute,3.3335,3.96
